Juventude	B-OBRA_PLANO
de	O
terem	O
sido	O
enviados	O
funcionários	O
para	O
trazer	O
Aristides	B-PESSOA_INDIVIDUAL
,	O
este	O
lidera	O
com	O
a	O
sua	O
viatura	O
uma	O
coluna	O
de	O
veículos	O
de	O
refugiados	O
e	O
guia-os	O
em	B-TEMPO_TEMPO_CALEND
direcção	O
à	O
fronteira	O
,	O
onde	O
do	O
lado	O
espanhol	O
não	O
existe	O
qualquer	O
telefone.	O
Por	O
isso	O
mesmo	O
,	O
os	O
guardas	O
fronteiriços	O
não	O
tinham	O
sido	O
ainda	O
avisados	O
da	O
decisão	O
de	O
Madrid	B-LOCAL_HUMANO
de	O
fechar	O
as	O
fronteiras	O
com	O
a	B-TEMPO_TEMPO_CALEND
França	B-LOCAL_HUMANO
.	O
Sousa	B-PESSOA_INDIVIDUAL
Mendes	B-OBRA_PLANO
impressiona	O
os	O
guardas	O
aduaneiros	O
,	O
que	O
acabariam	O
por	O
deixar	O
passar	O
todos	O
os	O
refugiados	O
,	O
que	O
com	O
os	O
seus	O
vistos	O
puderam	O
continuar	O
viagem	O
até	O
Portugal	B-ORGANIZACAO_ADMINISTRACAO
.	O
Superflex	B-PESSOA_GRUPOMEMBRO
lança	O
cerveja	O
``	O
pública	O
''	B-PESSOA_INDIVIDUAL
29	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Novembro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2007	I-TEMPO_TEMPO_CALEND
Matéria	O
publicada	O
originalmente	O
na	O
Folha	B-ORGANIZACAO_EMPRESA
online	O
FABIO	O
CYPRIANO	O
DA	B-LOCAL_HUMANO
REPORTAGEM	O
LOCAL	O
Uma	O
nova	O
marca	O
de	O
cerveja	O
é	O
lançada	O
,	O
hoje	B-TEMPO_TEMPO_CALEND
,	O
na	O
galeria	O
Vermelho	B-LOCAL_HUMANO
:	B-OBRA_REPRODUZIDA
a	B-TEMPO_TEMPO_CALEND
Free	B-OBRA_PLANO
Beer	I-OBRA_PLANO
.	O
Entretanto	O
,	O
ao	O
contrário	O
das	O
marcas	O
tradicionais	O
,	O
que	O
tratam	O
como	O
segredo	O
de	O
Estado	B-ORGANIZACAO_ADMINISTRACAO
a	B-TEMPO_TEMPO_CALEND
receita	O
de	O
suas	O
bebidas	O
,	O
no	O
próprio	O
rótulo	O
da	O
Free	B-OBRA_PLANO
Beer	I-OBRA_PLANO
está	O
estampada	O
sua	O
receita.	O
A	O
Free	B-OBRA_PLANO
Beer	I-OBRA_PLANO
é	O
a	O
nova	O
ação	O
do	O
coletivo	O
dinamarquês	O
Superflex	B-PESSOA_GRUPOMEMBRO
,	O
composto	O
por	O
Bjornstjerne	B-PESSOA_INDIVIDUAL
Reuter	O
Christiansen	B-PESSOA_INDIVIDUAL
,	O
Jakob	B-PESSOA_INDIVIDUAL
Fenger	I-PESSOA_INDIVIDUAL
e	O
Rasmus	O
Nielsen	O
.	O
No	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
passado	I-TEMPO_TEMPO_CALEND
,	O
o	O
grupo	O
trouxe	O
polêmica	O
à	O
27ª	B-ACONTECIMENTO_ORGANIZADO
Bienal	I-ACONTECIMENTO_ORGANIZADO
de	O
São	B-LOCAL_HUMANO
Paulo	I-LOCAL_HUMANO
com	O
o	O
Guaraná	B-COISA_CLASSE
Power	I-COISA_CLASSE
,	O
censurado	O
pela	O
presidência	O
da	O
instituição	O
,	O
que	O
afirmou	O
que	O
não	O
se	O
tratava	O
de	O
uma	O
obra	O
de	O
arte.	O
Apesar	O
do	O
veto	O
,	O
o	O
Guaraná	B-COISA_CLASSE
Power	I-COISA_CLASSE
,	O
feito	O
em	O
colaboração	O
com	O
a	B-TEMPO_TEMPO_CALEND
Cooperativa	O
de	O
Agricultores	O
da	O
Região	O
de	O
Maués	B-LOCAL_HUMANO
,	O
na	O
Amazônia	O
,	O
chegou	O
a	O
ser	O
distribuído	O
em	B-TEMPO_TEMPO_CALEND
museus	O
e	O
na	O
própria	O
Vermelho	B-LOCAL_HUMANO
,	O
durante	O
a	B-TEMPO_TEMPO_CALEND
Bienal	B-ORGANIZACAO_INSTITUICAO
.	O
''	O
Agora	O
estamos	O
propondo	O
uma	O
marca	O
aberta	O
e	O
,	O
nesse	O
sentido	O
,	O
sugerimos	O
um	O
novo	O
modelo	O
econômico	O
,	O
que	O
permite	O
a	O
qualquer	O
um	O
produzir	O
e	O
distribuir	O
cerveja	O
,	O
a	O
partir	O
de	O
uma	O
receita	O
que	O
é	O
pública	O
,	O
além	O
de	O
criar	O
consumidores	O
não	O
obedientes	O
,	O
como	O
gosta	O
o	O
mercado	O
''	O
,	O
conta	O
Fenger	B-PESSOA_INDIVIDUAL
.	O
''	O
Free	B-OBRA_PLANO
software	O
''	B-PESSOA_INDIVIDUAL
A	O
Free	B-OBRA_PLANO
Beer	I-OBRA_PLANO
surgiu	O
em	B-TEMPO_TEMPO_CALEND
2004	I-TEMPO_TEMPO_CALEND
,	O
numa	O
parceria	O
com	O
estudantes	O
da	O
Universidade	B-ORGANIZACAO_INSTITUICAO
de	O
Copenhague	O
.	O
''	O
Buscamos	O
transferir	O
os	O
princípios	O
do	O
software	O
livre	O
para	O
algo	O
físico	O
,	O
e	O
a	B-TEMPO_TEMPO_CALEND
cerveja	O
se	O
tornou	O
um	O
bom	O
exemplo	O
''	B-PESSOA_INDIVIDUAL
,	O
conta	O
Nielsen	O
.	O
''	O
Por	O
isso	O
,	O
a	B-TEMPO_TEMPO_CALEND
Free	B-OBRA_PLANO
Beer	I-OBRA_PLANO
tem	O
sido	O
comparada	O
ao	O
Linux	B-ABSTRACCAO_DISCIPLINA
[	O
sistema	O
operacional	O
gratuito	O
]	O
e	O
à	O
Wikipedia	O
``	O
,	O
diz	O
o	O
artista.	O
Quem	O
quiser	O
produzir	O
e	O
comercializar	O
a	B-TEMPO_TEMPO_CALEND
Free	B-OBRA_PLANO
Beer	I-OBRA_PLANO
pode	O
baixar	O
do	O
site	O
www.freebeer.org	O
a	B-TEMPO_TEMPO_CALEND
logomarca	O
da	O
cerveja	O
,	O
de	O
forma	O
gratuita.	O
''	B-PESSOA_INDIVIDUAL
Já	O
há	O
Free	B-OBRA_PLANO
Beer	I-OBRA_PLANO
sendo	O
produzida	O
na	O
Inglaterra	B-LOCAL_HUMANO
,	O
nos	O
Estados	B-LOCAL_HUMANO
Unidos	B-PESSOA_CARGO
,	O
na	O
Dinamarca	B-PESSOA_CARGO
e	O
até	O
na	O
República	B-ACONTECIMENTO_EVENTO
Tcheca	O
``	O
,	O
afirma	O
Fenger	B-PESSOA_INDIVIDUAL
.	O
No	O
Brasil	B-LOCAL_HUMANO
,	O
a	B-TEMPO_TEMPO_CALEND
Free	B-OBRA_PLANO
Beer	I-OBRA_PLANO
está	O
sendo	O
produzida	O
pela	O
Cervejaria	O
Germânia	O
,	O
que	O
irá	O
comercializar	O
a	B-TEMPO_TEMPO_CALEND
bebida	O
durante	O
a	O
exposição	O
a	B-TEMPO_TEMPO_CALEND
partir	I-TEMPO_TEMPO_CALEND
da	O
versão	O
3.4	O
,	O
desenvolvida	O
pela	O
empresa.	O
''	B-PESSOA_INDIVIDUAL
A	O
única	O
coisa	O
que	O
pedimos	O
é	O
que	O
cada	O
nova	O
versão	O
seja	O
também	O
tornada	O
pública	O
no	O
site	O
do	O
Creative	B-ABSTRACCAO_IDEIA
Commons	I-ABSTRACCAO_IDEIA
``	O
,	O
diz	O
Christiansen	B-PESSOA_INDIVIDUAL
.	O
Na	O
Vermelho	B-LOCAL_HUMANO
,	O
o	O
Superflex	B-PESSOA_GRUPOMEMBRO
apresenta	O
o	O
``	O
Free	B-OBRA_PLANO
Beer	I-OBRA_PLANO
Kit	O
``	O
,	O
uma	O
mesa	O
com	O
todos	O
os	O
ingredientes	O
e	O
instrumentos	O
necessários	O
para	O
a	O
produção	O
da	O
cerveja	O
,	O
o	O
que	O
será	O
utilizado	O
,	O
aliás	O
,	O
no	O
workshop	O
``	O
O	O
Mundo	B-LOCAL_HUMANO
da	O
Cerveja	O
``	O
,	O
com	O
os	O
especialistas	O
Cilene	O
Saorin	O
e	O
Arnaldo	O
Ribeiro	B-PESSOA_INDIVIDUAL
,	O
no	O
próximo	B-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
15	B-VALOR_MOEDA
de	B-TEMPO_TEMPO_CALEND
dezembro	I-TEMPO_TEMPO_CALEND
,	O
às	O
14	B-VALOR_QUANTIDADE
h	O
.	O
O	O
grupo	O
exibe	O
também	O
nove	B-TEMPO_FREQUENCIA
máquinas	O
``	O
Counter-Game	O
Strategies	O
``	O
(	O
estratégias	O
de	O
contra-jogos	O
)	O
,	O
típicos	O
brinquedos	O
de	O
quermesse	O
,	O
como	O
jogo	O
de	O
argolas	O
ou	O
rodas	O
giratórias	O
,	O
que	O
,	O
contudo	O
,	O
abordam	O
de	O
forma	O
irônica	O
o	O
universo	O
dos	O
direitos	O
autorais	O
e	O
da	O
pirataria.	O
''	B-PESSOA_INDIVIDUAL
Mark	B-PESSOA_INDIVIDUAL
Getty	O
afirma	O
que	O
``	O
a	B-TEMPO_TEMPO_CALEND
propriedade	O
intelectual	O
é	O
o	O
petróleo	O
do	O
século	B-TEMPO_TEMPO_CALEND
21	I-TEMPO_TEMPO_CALEND
'	O
''	O
,	O
conta	O
Christiansen	B-PESSOA_INDIVIDUAL
,	O
``	O
portanto	O
,	O
estamos	O
tratando	O
de	O
um	O
tema	O
muito	O
sério.	O
Afinal	O
,	O
quantas	O
guerras	O
não	O
foram	O
realizadas	O
por	O
conta	O
do	O
petróleo	O
?	O
``	O
.	O
No	B-TEMPO_FREQUENCIA
próximo	B-TEMPO_TEMPO_CALEND
sábado	I-TEMPO_TEMPO_CALEND
,	I-TEMPO_TEMPO_CALEND
às	O
16h	O
,	O
Ronaldo	O
Lemos	O
,	O
diretor	B-PESSOA_INDIVIDUAL
do	O
Creative	B-ABSTRACCAO_IDEIA
Commons	I-ABSTRACCAO_IDEIA
no	O
Brasil	B-LOCAL_HUMANO
,	O
irá	O
participar	O
de	O
um	O
debate	O
com	O
os	O
membros	O
do	O
Superflex	B-PESSOA_GRUPOMEMBRO
,	O
na	O
Vermelho	B-LOCAL_HUMANO
,	O
e	O
logo	O
após	O
será	O
realizada	O
uma	O
gincana	O
intitulada	O
``	O
Free	B-OBRA_PLANO
Beer	I-OBRA_PLANO
Pub	O
Quiz	O
``	O
,	O
na	O
qual	O
participantes	O
receberão	O
prêmios	O
ao	O
responderem	O
questões	O
sobre	O
propriedade	O
intelectual	O
e	O
direitos	O
autorais.	O
Uma	O
foto	O
para	O
lá	O
da	O
verdade	O
A	O
fotografia	O
mais	B-VALOR_QUANTIDADE
famosa	O
de	O
guerra	O
,	O
o	O
instante	O
em	O
que	O
Federico	O
Borrell	O
,	O
um	O
miliciano	O
republicano	O
cai	O
depois	B-TEMPO_TEMPO_CALEND
de	O
atingido	O
por	O
uma	O
bala	O
franquista	O
,	O
está	O
agora	O
de	O
novo	O
em	B-TEMPO_TEMPO_CALEND
crise	O
de	O
autenticidade.	O
Há	O
anos	O
que	O
se	O
discute	O
se	O
a	B-TEMPO_TEMPO_CALEND
fotografia	O
da	O
autoria	O
do	O
famoso	O
fotojornalista	O
Robert	B-PESSOA_INDIVIDUAL
Capa	O
é	O
ou	O
não	O
encenada.	O
Agora	O
um	O
documentário	O
,	O
``	O
A	O
Sombra	O
do	O
Iceberg	O
``	O
,	O
premiado	O
com	O
o	O
prémio	O
Melhor	O
documentário	O
ibero-americano	O
,	O
no	O
México	B-LOCAL_HUMANO
,	O
vem	O
outra	O
vez	O
questionar	O
a	B-TEMPO_TEMPO_CALEND
autenticidade	O
da	O
cena	O
ocorrida	O
em	B-TEMPO_TEMPO_CALEND
Cerro	O
Muriano	O
,	O
povoação	O
dos	O
arredores	O
de	O
Córdoba	O
,	O
e	O
feita	O
em	B-TEMPO_TEMPO_CALEND
1936	I-TEMPO_TEMPO_CALEND
,	O
no	B-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
5	B-VALOR_MOEDA
de	O
Setembro	B-TEMPO_TEMPO_CALEND
.	O
As	O
dúvidas	O
levantadas	O
prendem-se	O
com	O
factos	O
investigados.	O
Hugo	O
Doménech	O
,	O
professor	B-PESSOA_INDIVIDUAL
da	O
Universidade	B-ORGANIZACAO_INSTITUICAO
Jaume	O
de	O
Castellón	O
e	O
do	O
jornalista	O
Raul	O
Riebenbaueur	O
reuniram	O
um	O
especialista	O
forense	O
,	O
um	O
militar	O
geodésico	O
e	O
um	O
astrofísico	O
e	O
recolheram	O
depoimentos	O
locais.	O
No	B-TEMPO_FREQUENCIA
filme	O
prevalece	O
a	O
ideia	O
de	O
que	O
o	O
miliciano	O
não	O
foi	O
morto	O
às	O
nove	B-TEMPO_FREQUENCIA
mas	O
à	O
uma	O
da	O
tarde	O
,	O
que	O
há	O
um	O
relato	O
local	O
que	O
diz	O
Borrel	O
ter	O
sido	O
morto	O
atrás	B-TEMPO_TEMPO_CALEND
de	O
uma	O
árvore	O
,	O
que	O
não	O
existe	O
na	O
foto	O
,	O
e	O
que	O
o	O
miliciano	O
fotografado	O
não	O
é	O
o	O
que	O
foi	O
morto	O
naquele	B-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
.	O
O	O
facto	O
de	O
Capa	O
viajar	O
então	O
com	O
a	B-TEMPO_TEMPO_CALEND
namorada	O
Gerda	O
Taro	O
(	O
morta	O
pouco	O
depois	O
)	O
e	O
de	O
enviar	O
para	O
Paris	B-LOCAL_HUMANO
os	O
rolos	O
todos	O
misturados	O
sem	O
a	B-TEMPO_TEMPO_CALEND
designação	O
a	O
quem	O
pertencia	O
cada	O
um	O
,	O
ainda	O
lança	O
mais	B-VALOR_QUANTIDADE
confusão	O
na	O
história.	O
Por	O
outro	O
lado	O
o	O
negativo	O
original	O
nunca	O
mais	O
apareceu	O
,	O
nem	O
a	B-TEMPO_TEMPO_CALEND
tira	O
com	O
as	O
fotos	O
tiradas	O
antes	B-TEMPO_TEMPO_CALEND
e	O
depois	O
.	O
Apesar	O
de	O
se	O
conhecer	O
uma	O
sequência	O
de	O
fotos	O
feitas	O
no	O
mesmo	B-TEMPO_TEMPO_CALEND
local.	O
O	O
biógrafo	O
de	O
Capa	O
,	O
Richard	B-PESSOA_INDIVIDUAL
Whelan	O
-	O
falecido	O
há	O
pouco	O
-	O
recusou	O
depor	O
para	O
o	O
documentário	O
e	O
Cornell	O
Capa	O
,	O
o	O
irmão	O
de	O
Robert	B-PESSOA_INDIVIDUAL
,	O
já	O
de	O
idade	O
avançada	O
,	O
nada	O
comenta	O
,	O
remetendo	O
tudo	O
para	O
a	O
sua	O
filha	O
,	O
a	B-TEMPO_TEMPO_CALEND
fiel	O
depositária	O
do	O
espólio	O
de	O
Robert	B-PESSOA_INDIVIDUAL
Capa	O
.	O
A	O
fotografia	O
foi	O
publicada	O
pela	O
primeira	O
vez	O
,	O
em	B-TEMPO_TEMPO_CALEND
1936	I-TEMPO_TEMPO_CALEND
,	O
na	O
revista	O
VU	O
-	O
pioneira	O
do	O
fotojornalismo	O
moderno	O
e	O
inspiradora	O
de	O
LIFE	O
-	O
e	O
dois	B-TEMPO_DURACAO
anos	I-TEMPO_DURACAO
mais	B-VALOR_QUANTIDADE
tarde	B-TEMPO_TEMPO_CALEND
(	O
como	O
andava	O
devagar	O
então	O
a	B-TEMPO_TEMPO_CALEND
informação	O
!	O
)	O
na	O
LIFE	O
.	O
Na	O
edição	O
da	O
VU	O
Robert	B-PESSOA_INDIVIDUAL
Capa	O
era	O
apresentado	O
como	O
o	O
melhor	O
fotógrafo	O
de	O
guerra	O
do	O
Mundo	B-LOCAL_HUMANO
e	O
a	B-TEMPO_TEMPO_CALEND
paginação	O
da	O
reportagem	O
era	O
feito	O
num	O
estilo	O
então	O
vanguardista	O
de	O
fotohistória.	O
Esta	O
polémica	O
acaba	O
por	O
ser	O
um	O
pouco	O
redundante.	O
Capa	O
era	O
de	O
uma	O
coragem	O
à	O
prova	O
de	O
bala	O
a	O
trabalhar	O
no	O
cenário	O
de	O
guerra.	O
Fotografou	O
por	O
dentro	O
a	O
Guerra	B-ACONTECIMENTO_EFEMERIDE
Civil	O
espanhola	O
,	O
sempre	O
pelo	O
lado	O
republicano	O
,	O
estava	O
no	O
Dia	B-TEMPO_GENERICO
D	O
na	O
Normandia	B-LOCAL_HUMANO
e	O
acabou	O
por	O
morrer	O
ao	O
pisar	O
uma	O
mina	O
na	O
Indochina	O
a	B-TEMPO_TEMPO_CALEND
25	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Maio	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1954	B-TEMPO_TEMPO_CALEND
.	O
Como	O
curiosidade	O
passou	O
por	O
Portugal	B-ORGANIZACAO_ADMINISTRACAO
e	O
foi	O
visto	O
no	O
Café	B-PESSOA_INDIVIDUAL
Palladium	O
dos	O
Restauradores	O
pelo	O
jornalista	O
de	O
O	O
Século	O
,	O
Francisco	B-PESSOA_INDIVIDUAL
Mata	I-PESSOA_INDIVIDUAL
,	O
já	O
falecido	O
,	O
e	O
que	O
o	O
contou	O
numa	O
crónica	O
do	O
antigo	O
Sete	O
.	O
[	O
...	O
]	O
Luiz	B-PESSOA_INDIVIDUAL
Carvalho	I-PESSOA_INDIVIDUAL
,	O
fotojornalista	O
do	O
Expresso	O
contra-revoluções	O
musicais	O
Talvez	O
que	O
,	O
tendo	O
a	O
música	O
uma	O
componente	O
tão	O
física	O
não	O
seja	O
apetecível	O
o	O
aleatório	O
,	O
o	O
algorítmico.	O
É	O
mais	B-VALOR_QUANTIDADE
do	O
que	O
tropeçar	O
,	O
caír	O
,	O
espalhar	O
o	O
corpo	O
em	B-TEMPO_TEMPO_CALEND
mil	B-VALOR_QUANTIDADE
bocados.	O
''	B-PESSOA_INDIVIDUAL
Se	O
a	O
música	O
comtemporânea	O
pôde	O
ser	O
considerada	O
incompreensível	O
quanto	O
ao	O
seu	O
código	O
de	O
leitura	O
,	O
hoje	B-TEMPO_GENERICO
já	O
não	O
é	O
a	O
música	O
que	O
se	O
tornou	O
incompreensível	O
mas	O
sim	O
o	O
público	O
.	O
''	O
Metzger	O
,	O
Heins-Klaus.cit.	O
,	O
p.2	O
Afinal	O
não	O
somos	O
todos	O
o	O
mesmo	B-TEMPO_TEMPO_CALEND
público	O
?	O
posted	O
by	O
DGP	O
@	O
4:29	O
AM	O
2	B-TEMPO_TEMPO_CALEND
Comments	O
:	B-OBRA_REPRODUZIDA
At	O
1:55	O
PM	B-COISA_CLASSE
,	O
César	B-PESSOA_INDIVIDUAL
Viana	B-LOCAL_HUMANO
said	O
...	O
Será	O
que	O
hoje	B-TEMPO_GENERICO
ainda	O
podemos	O
falar	O
de	O
``	O
a	B-TEMPO_TEMPO_CALEND
''	B-PESSOA_INDIVIDUAL
música	O
contemporânea	O
?	O
Há	O
uma	O
diversidade	O
de	O
manifestações	O
que	O
se	O
movem	O
nesta	O
área	O
,	O
desde	O
as	O
mais	O
exigentes	O
às	O
mais	B-VALOR_QUANTIDADE
oportunisticamente	O
simplistas	O
,	O
todas	O
sobre	O
essa	O
mesma	O
capa	O
de	O
``	O
música	O
contemporânea	O
''	B-PESSOA_INDIVIDUAL
.	O
At	O
2:20	O
AM	O
,	O
DGP	O
said	O
...	O
Claro	B-ABSTRACCAO_IDEIA
que	O
sim	O
!	O
Nem	O
sei	O
bem	O
em	O
que	O
contexto	O
escrevi	O
este	O
post.	O
Estava	O
a	B-TEMPO_TEMPO_CALEND
reler	O
um	O
livro	O
-	O
Revoluções	O
Musicais	O
,	O
a	O
música	O
contemporânea	O
depois	B-TEMPO_TEMPO_CALEND
de	O
1945	O
Pareceu-me	O
infeliz	O
a	O
frase	O
de	O
Heinz-Klaus	O
(	O
``	O
já	O
não	O
é	O
a	O
música	O
que	O
se	O
tornou	O
incompreensível	O
mas	O
sim	O
o	O
público	O
)	O
No	B-TEMPO_FREQUENCIA
fundo	O
aquilo	O
de	O
que	O
discordo	O
é	O
o	O
facto	O
de	O
neste	O
caso	O
o	O
criador	O
estar	O
de	O
fora	O
do	O
grupo	O
colectivo.	O
É	O
claro	O
que	O
é	O
mais	O
apetecível	O
e	O
mais	O
fácil	O
,	O
mas	O
depois	B-TEMPO_TEMPO_CALEND
falta-lhe	O
amor.	O
(	O
Como	O
tão	O
bem	O
defeniu	O
no	O
post	O
em	O
que	O
falava	O
de	O
Alvaro	O
Cunhal	B-PESSOA_INDIVIDUAL
)	O
De	O
qualquer	O
maneira	O
e	O
infelizmente	O
,	O
não	O
conheço	O
música	O
feita	O
nos	O
últimos	O
anos	O
.	O
Lobotomia	O
História	B-COISA_OBJECTO
Foi	O
desenvolvida	O
em	B-TEMPO_TEMPO_CALEND
1935	I-TEMPO_TEMPO_CALEND
pelo	O
médico	O
neurologista	O
português	O
António	B-PESSOA_INDIVIDUAL
Egas	O
Moniz	O
(	O
1874-1955	O
)	O
,	O
em	B-TEMPO_TEMPO_CALEND
equipe	O
com	O
o	O
cirurgião	O
Almeida	B-COISA_OBJECTO
Lima	B-PESSOA_INDIVIDUAL
,	O
na	O
Universidade	B-ORGANIZACAO_INSTITUICAO
de	O
Lisboa	B-LOCAL_HUMANO
.	O
Egas	O
Moniz	O
veio	O
a	O
receber	O
com	O
este	O
trabalho	O
o	O
prêmio	O
Nobel	O
da	O
Medicina	O
e	O
Fisiologia	O
em	B-TEMPO_TEMPO_CALEND
1949	O
.	O
A	O
Leucotomia	O
foi	O
a	O
primeira	O
técnica	O
de	O
Psicocirurgia	O
ou	O
seja	O
,	O
a	O
utilização	O
de	O
manipulações	O
orgânicas	O
do	O
cérebro	O
para	O
curar	O
ou	O
melhorar	O
sintomas	O
de	O
uma	O
patologia	O
psiquiátrica	O
(	O
em	B-TEMPO_TEMPO_CALEND
contrapartida	O
à	O
neurocirurgia	O
que	O
se	O
ocupa	O
de	O
doentes	O
com	O
patologia	O
orgânica	O
directa	O
ou	O
neurológica	O
)	O
.	O
Inicialmente	O
foi	O
usada	O
para	O
tratar	O
depressão	O
severa.	O
Egas	O
Moniz	O
sempre	O
defendeu	O
o	O
seu	O
uso	O
apenas	O
em	B-TEMPO_TEMPO_CALEND
casos	O
graves	O
em	O
que	O
houvesse	O
risco	O
de	O
violência	O
ou	O
suicídio.	O
No	O
entanto	O
apesar	O
de	O
cerca	B-VALOR_QUANTIDADE
de	I-VALOR_QUANTIDADE
6	B-TEMPO_TEMPO_CALEND
%	B-VALOR_QUANTIDADE
dos	O
pacientes	O
não	O
sobreviverem	O
à	O
operação	O
,	O
e	O
de	O
vários	O
outros	O
ficarem	O
com	O
alterações	O
da	O
personalidade	O
muito	O
severos	O
,	O
foi	O
praticada	O
com	O
entusiasmo	O
excessivo	O
em	O
muitos	O
paises	O
,	O
nomeadamente	O
o	O
Japão	B-LOCAL_HUMANO
e	O
os	O
Estados	B-PESSOA_POVO
Unidos	I-PESSOA_POVO
.	O
Neste	O
último	B-TEMPO_FREQUENCIA
país	O
foi	O
popularizada	O
pelo	O
cirurgião	O
Walter	B-PESSOA_INDIVIDUAL
Freeman	O
,	O
que	O
divulgou	O
a	O
técnica	O
por	O
todo	O
o	O
seu	O
país	O
,	O
percorrendo	O
o	O
no	O
seu	O
Lobotomobile	O
,	O
e	O
criando	O
inclusivamente	O
uma	O
variante	O
em	O
que	O
espetava	O
um	O
picador	O
de	O
gelo	O
directamente	O
no	O
crânio	O
do	O
doente	O
,	O
desde	O
um	O
ponto	O
logo	O
acima	O
do	O
canal	O
lacrimal	O
com	O
a	O
ajuda	O
de	O
um	O
martelo	O
,	O
rodando-se	O
depois	B-TEMPO_TEMPO_CALEND
o	O
mesmo	B-TEMPO_TEMPO_CALEND
para	O
destruir	O
as	O
vias	O
aí	O
localizadas.	O
Supostamente	O
a	B-TEMPO_TEMPO_CALEND
atractividade	O
deste	O
procedimento	O
seria	O
o	O
seu	O
baixo	O
custo	O
e	O
o	O
desejo	O
social	O
de	O
silenciar	O
doentes	O
psiquiátricos	O
incómodos.	O
A	O
leucotomia	O
ganhou	O
tal	O
popularidade	O
que	O
foi	O
inclusivamente	O
praticada	O
em	B-TEMPO_TEMPO_CALEND
crianças	O
com	O
mau	O
comportamento.	O
Cerca	B-VALOR_QUANTIDADE
de	I-VALOR_QUANTIDADE
50.000	B-VALOR_QUANTIDADE
doentes	O
foram	O
tratados	O
só	O
nos	O
Estados	B-LOCAL_HUMANO
Unidos	B-PESSOA_POVO
.	O
Com	O
a	O
ajuda	O
destes	O
abusos	O
,	O
a	B-TEMPO_TEMPO_CALEND
leucotomia	O
foi	O
abandonada	O
quando	O
surgiram	O
os	O
primeiros	O
fármacos	O
antipsicóticos.	O
Durante	O
muito	O
tempo	O
foi	O
considerada	O
algo	O
injustamente	O
como	O
um	O
episódio	O
barbárico	O
na	O
história	O
da	O
Psiquiatria	O
,	O
sendo	O
comum	O
a	B-TEMPO_TEMPO_CALEND
comparação	O
à	O
técnica	O
da	O
flebotomia	O
(	O
ou	O
sangria	O
)	O
na	O
história	O
da	O
medicina	O
interna.	O
Questões	O
Frequentemente	O
Perguntadas	O
-	O
Frequently	O
Asked	O
Questions	O
(	O
FAQ	O
)	O
Instituto	B-ORGANIZACAO_INSTITUICAO
Brasileiro	B-ACONTECIMENTO_ORGANIZADO
de	I-ACONTECIMENTO_ORGANIZADO
Advocacia	O
Pública	B-LOCAL_HUMANO
Questões	O
frequentemente	B-TEMPO_FREQUENCIA
perguntadas	O
(	O
FAQ	O
)	O
(	O
Atenção	O
:	B-OBRA_REPRODUZIDA
página	O
em	B-TEMPO_TEMPO_CALEND
construção	O
,	O
atualizada	O
até	O
28	B-OBRA_PLANO
de	I-OBRA_PLANO
abril	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
2000	I-TEMPO_TEMPO_CALEND
.	O
Algumas	B-TEMPO_FREQUENCIA
respostas	O
ainda	O
não	O
foram	O
redigidas.	O
Participe	O
desta	O
construção	O
,	O
enviando	O
outras	O
perguntas	O
que	O
ache	O
pertinentes	O
,	O
via	O
e-mail	O
-	O
ibap	O
@	O
ibap.org	O
)	O
.	O
1	O
-	O
APOSENTADOS/AS	O
2	B-TEMPO_TEMPO_CALEND
-	O
ESTAGIÁRIOS/AS	O
3	B-TEMPO_TEMPO_CALEND
-	O
ADVOGADOS/AS	O
PÚBLICOS/AS	O
EM	O
ATIVIDADE	O
4	B-TEMPO_TEMPO_CALEND
-	O
ESTRUTURA	O
ORGANIZACIONAL	O
DO	O
IBAP	O
5	B-VALOR_MOEDA
-	O
ATIVIDADES	O
DO	O
IBAP	O
VIA	O
INTERNET	O
6	B-TEMPO_TEMPO_CALEND
-	O
PUBLICAÇÕES	O
DO	O
IBAP	O
7	B-TEMPO_TEMPO_CALEND
-	O
EVENTOS	O
REALIZADOS/APOIADOS	O
PELO	O
IBAP	O
8	B-VALOR_QUANTIDADE
-	O
IBAP	O
EM	O
AÇÃO	O
:	B-OBRA_REPRODUZIDA
NOSSAS	O
LUTAS	O
E	O
CAMPANHAS	O
1	O
-	O
APOSENTADOS/AS	O
1.1.	O
Já	O
estou	O
aposentado/a.	O
Posso	O
associar-me	O
ao	O
IBAP	O
?	O
Sim	O
,	O
desde	O
que	O
tenha	O
se	O
aposentado	O
na	O
condição	O
de	O
Advogado/a	O
Público/a	O
.	O
1.2.	O
Posso	O
continuar	O
associado/a	O
mesmo	B-TEMPO_TEMPO_CALEND
quando	O
me	O
aposentar	O
