Revisão	B-Evento
no	O
que	O
se	O
refere	O
à	O
saúde	O
das	O
suas	O
populações	O
,	O
mas	O
também	O
torná-la	O
mais	O
competitiva	O
e	O
geradora	B-Data
de	I-Data
riqueza	I-Data
,	O
porém	O
sem	O
perder	O
a	O
sua	O
identidade	O
alimentar	O
e	O
gastronómica	O
que	O
a	O
faz	O
mais	O
diferenciada	O
e	O
atraente.	O
Programa	O
disponível	O
no	O
nosso	O
site.	O
Falecimento	O
da	O
Professora	O
Beatriz	B-Pessoa
Madureira	I-Pessoa
22	B-Data
de	I-Data
Fevereiro	I-Data
de	I-Data
2017	I-Data
É	O
com	O
profunda	O
tristeza	O
que	O
a	O
Faculdade	B-UnidadeOrganica
de	I-UnidadeOrganica
Arquitectura	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
(	O
FAUP	B-UnidadeOrganica
)	O
informa	O
a	O
comunidade	O
académica	O
do	O
falecimento	O
da	O
Professora	O
Beatriz	B-Pessoa
Madureira	I-Pessoa
,	O
antiga	O
docente	O
da	O
FAUP	B-UnidadeOrganica
.	O
O	O
velório	O
realiza-se	O
a	O
22	B-Data
de	I-Data
Fevereiro	I-Data
a	O
partir	O
das	O
18h00	O
até	O
às	O
23h00	B-Hora
e	O
no	O
dia	O
23	B-Data
de	I-Data
Fevereiro	I-Data
das	O
9h00	B-Hora
às	O
15h00	B-Hora
,	O
no	O
Tanatório	B-Localizacao
de	I-Localizacao
Matosinhos	I-Localizacao
(	I-Localizacao
Rua	B-Localizacao
de	I-Localizacao
Sendim	I-Localizacao
)	I-Localizacao
.	O
Beatriz	B-Pessoa
Madureira	I-Pessoa
nasceu	O
a	O
21	B-Data
de	I-Data
Novembro	I-Data
de	I-Data
1940	I-Data
,	O
em	O
Barcelos	B-Localizacao
.	I-Localizacao
Frequentou	I-Localizacao
a	O
Escola	O
Superior	O
de	O
Belas-Artes	O
do	O
Porto	O
(	O
ESBAP	B-Organizacao
)	O
onde	O
terminou	O
,	O
em	O
Julho	B-Data
de	I-Data
1964	I-Data
,	O
a	O
parte	O
escolar	O
do	O
Curso	O
de	O
Arquitectura	O
,	O
tendo	O
obtido	O
o	O
Diploma	O
de	O
Arquitectura	O
em	O
Julho	B-Data
de	I-Data
1966	I-Data
.	O
Foi	O
docente	O
na	O
ESBAP	O
entre	O
1977	O
e	O
1985	B-Data
e	O
depois	O
da	O
FAUP	B-UnidadeOrganica
até	O
2002	B-Data
,	O
data	O
em	O
que	O
se	O
aposentou.	B-Localizacao
Acompanhou	O
o	O
Arquitecto	O
Fernando	B-Pessoa
Távora	I-Pessoa
no	O
Conselho	O
Directivo	O
,	O
na	O
gestão	O
da	O
Escola	B-Organizacao
,	O
e	O
na	O
leccionação	B-Localizacao
da	I-Localizacao
cadeira	B-UnidadeOrganica
de	I-UnidadeOrganica
Teoria	I-UnidadeOrganica
Geral	I-UnidadeOrganica
da	I-UnidadeOrganica
Organização	I-UnidadeOrganica
do	I-UnidadeOrganica
Espaço	I-UnidadeOrganica
(	O
TGOE	B-Organizacao
)	I-Organizacao
.	O
Desde	O
1961	B-Data
e	O
durante	O
todo	O
o	O
período	O
escolar	O
colaborou	O
no	O
escritório	B-Localizacao
do	I-Localizacao
Arquitecto	O
Álvaro	B-Pessoa
Siza	I-Pessoa
.	O
Realizou	O
o	O
estágio	O
no	O
Laboratório	B-Organizacao
Nacional	I-Organizacao
de	I-Organizacao
Engenharia	I-Organizacao
Civil	I-Organizacao
(	O
LNEC	B-Organizacao
)	I-Organizacao
,	O
do	O
antigo	O
Ministério	O
das	O
Obras	O
Públicas	O
,	O
em	O
1965	B-Localizacao
-66.	I-Localizacao
Ainda	O
na	O
década	B-UnidadeOrganica
de	O
60	O
,	O
colaborou	O
nos	O
escritórios	O
dos	O
Arquitectos	O
Victor	B-Pessoa
Figueiredo	I-Pessoa
,	O
em	O
Lisboa	B-Localizacao
,	O
e	O
Arménio	B-Pessoa
Losa	I-Pessoa
,	O
no	O
Porto	B-Localizacao
(	O
1966	B-Organizacao
-	O
1969	B-Data
)	I-Data
.	O
Exerceu	O
o	O
cargo	O
de	O
Arquitecta	O
na	O
Direcção	O
Geral	O
das	O
Construções	B-Hora
Escolares	B-Hora
-	O
Construções	B-Organizacao
Escolares	I-Organizacao
do	I-Organizacao
Norte	I-Organizacao
entre	O
1970	B-Data
e	O
1975	B-Data
.	O
Manteve	O
desde	O
1967	O
uma	O
colaboração	O
pontual	O
no	O
escritório	B-Localizacao
do	I-Localizacao
Arquitecto	O
Alfredo	B-Pessoa
Matos	I-Pessoa
Ferreira	I-Pessoa
e	I-Pessoa
,	O
entre	O
1974	B-Data
e	O
1976	B-Data
,	O
trabalhou	O
no	O
Serviço	O
de	O
Apoio	O
Ambulatório	O
Local	B-Hora
-	O
SAAL	B-Localizacao
Norte	I-Localizacao
,	O
em	O
brigadas	B-Localizacao
chefiadas	I-Localizacao
pelos	I-Localizacao
Arquitectos	I-Localizacao
Alfredo	I-Localizacao
Matos	I-Localizacao
Ferreira	I-Localizacao
e	O
Fernando	B-Pessoa
Távora	I-Pessoa
.	O
A	O
convite	O
do	O
Arquitecto	O
Fernando	B-Pessoa
Távora	I-Pessoa
,	O
colaborou	O
na	O
Exposição	O
e	O
Catálogo	O
``	O
J.	B-Pessoa
Marques	I-Pessoa
da	I-Pessoa
Silva	I-Pessoa
-	O
Arquitecto	O
''	O
que	O
teve	O
lugar	O
no	O
Porto	B-Localizacao
em	O
Março	O
e	O
Abril	B-Data
de	I-Data
1986	I-Data
.	O
Fotografia	O
originalmente	O
publicada	O
no	O
cartaz	O
da	O
Aula	B-Localizacao
Inagural	I-Localizacao
da	I-Localizacao
FAUP	B-UnidadeOrganica
``	O
Na	O
Escola	O
e	O
na	O
Cidade	B-Localizacao
1956-1966	O
:	O
Memórias	O
de	O
memória	O
''	O
apresentada	O
pelo	O
Professor	O
Pedro	B-Pessoa
Ramalho	I-Pessoa
(	O
8	B-Data
de	I-Data
Novembro	I-Data
2007	I-Data
)	O
FEUP	O
|	O
Bolsa	O
de	O
Investigação	O
-	O
Mestre	O
|	O
CITTA	B-Hora
G4	O
,	O
POCI-01-0145-FEDER-006775	O
Candidaturas	O
de	O
22/02/2017	O
a	O
08/03/2017	O
Encontra-se	O
aberto	O
concurso	O
para	O
a	O
atribuição	O
de	O
1	O
Bolsa	O
de	O
Investigação	O
Mestre	O
no	O
âmbito	O
do	O
projeto	O
CITTA	O
-	O
Centro	B-UnidadeOrganica
de	I-UnidadeOrganica
Investigação	I-UnidadeOrganica
do	I-UnidadeOrganica
Território	I-UnidadeOrganica
,	O
Transportes	O
e	O
Ambiente	O
,	O
com	O
a	O
referência	O
-	O
UID/Multi/04427	B-Organizacao
-	I-Organizacao
POCI-01-0145-FEDER-006775	B-Hora
-	O
financiada	O
pelo	O
Fundo	B-Organizacao
Europeu	I-Organizacao
de	I-Organizacao
Desenvolvimento	I-Organizacao
Regional	I-Organizacao
(	O
FEDER	B-Organizacao
)	O
,	O
através	O
do	O
COMPETE2020	B-Organizacao
–	O
Programa	O
Operacional	O
Competitividade	O
e	O
Internacionalização	O
(	O
POCI	O
)	O
e	O
com	O
o	O
apoio	O
financeiro	O
da	O
FCT	B-Organizacao
/	O
MCTES	B-Organizacao
através	O
de	O
fundos	O
nacionais	O
(	O
PIDDAC	B-Organizacao
)	O
,	O
nas	O
seguintes	O
condições	O
:	O
Edital	O
-	O
FEUP	B-UnidadeOrganica
–	O
projeto	O
CITTA	O
-	O
G4	O
''	O
&	O
gt	O
;	O
Edital	O
-	O
FEUP	B-UnidadeOrganica
–	O
projeto	O
CITTA	O
-	O
G4	B-Organizacao
Aula	I-Organizacao
Aberta	O
por	O
Ricardo	B-Pessoa
Magalhães	I-Pessoa
:	O
'	O
Conversas	O
a	O
propósito	O
do	O
Douro	O
'	O
2	B-Data
de	I-Data
Fevereiro	I-Data
(	O
Quinta-feira	O
)	O
,	O
15h00	B-Hora
,	O
Sala	B-Localizacao
do	I-Localizacao
Janelão	I-Localizacao
-	O
FAUP	B-UnidadeOrganica
''	O
Conversas	O
a	O
propósito	O
do	O
Douro	O
``	O
por	O
Ricardo	B-Pessoa
Magalhães	I-Pessoa
é	O
a	O
7ª	O
sessão	O
do	O
Ciclo	O
de	O
Aulas	O
Abertas	O
:	O
'Das	B-Pessoa
Devesas	I-Pessoa
a	O
General	B-Pessoa
Torres	I-Pessoa
|	O
Territórios	O
em	O
transformação	O
urbana	O
'	O
que	O
vai	O
ter	O
lugar	O
a	O
2	B-Data
de	I-Data
Fevereiro	I-Data
(	O
Quinta-feira	O
)	O
,	O
às	O
15h00	B-Hora
,	O
na	O
Sala	B-Localizacao
do	I-Localizacao
Janelão	I-Localizacao
-	O
FAUP	B-UnidadeOrganica
.	O
A	O
entrada	O
é	O
livre	O
,	O
sujeita	O
à	O
lotação	O
da	O
sala.	O
Programa	O
sujeito	O
a	O
alterações	O
,	O
sem	O
aviso	O
prévio.	O
Ricardo	B-Pessoa
Magalhães	I-Pessoa
Licenciado	O
em	O
Engenharia	O
Civil	O
na	O
FEUP	B-UnidadeOrganica
em	O
Planeamento	O
Territorial.	B-Pessoa
Desempenhou	I-Pessoa
diversos	O
cargos	O
,	O
entre	O
os	O
quais	O
,	O
Presidente	O
do	O
Gabinete	O
Coordenador	O
do	O
Programa	O
Sistema	B-Organizacao
Urbano	I-Organizacao
Nacional	I-Organizacao
(	I-Organizacao
PROSIUB	I-Organizacao
)	I-Organizacao
,	O
1994	B-Data
-	O
1995	B-Data
,	O
Presidente	O
da	O
Comissão	B-Organizacao
Nacional	I-Organizacao
da	I-Organizacao
Reserva	I-Organizacao
Ecológica	I-Organizacao
,	O
Presidente	O
da	O
Unidade	O
de	O
Gestão	O
do	O
Programa	O
Operacional	O
de	O
Trás-os-Montes	O
e	O
Alto	B-Pessoa
Douro	I-Pessoa
,	O
1989	B-Data
-	O
1994	B-Data
,	O
Diretor	O
Regional	O
do	O
Ambiente	O
e	O
dos	O
Recursos	O
Naturais	O
,	O
Diretor	O
Regional	O
do	O
Ordenamento	O
do	O
Território	O
,	O
1990	B-Data
-	O
1991	B-Data
,	I-Data
Vice-Presidente	O
da	O
CCDR-N	B-Organizacao
,	O
1991	B-Data
-	O
1995	B-Data
,	O
Secretário	O
de	O
Estado	O
dos	O
Recursos	O
Naturais	O
,	O
Secretário	O
de	O
Estado	O
Adjunto	O
da	O
Ministra	B-Organizacao
do	I-Organizacao
Ambiente	I-Organizacao
,	O
do	O
XIII	O
Governo	B-Organizacao
Constitucional	I-Organizacao
,	O
1997	B-Data
-	O
1999	B-Data
,	O
Secretário	O
de	O
Estado	O
Adjunto	O
da	O
Ministra	B-Organizacao
do	I-Organizacao
Planeamento	I-Organizacao
do	I-Organizacao
XIV	I-Organizacao
Governo	I-Organizacao
Constitucional	I-Organizacao
,	O
1999	B-Data
-	O
2002	B-Data
,	O
Vice-Presidente	O
da	O
Comissão	O
de	O
Coordenação	O
e	O
Desenvolvimento	O
da	O
Região	B-Organizacao
do	I-Organizacao
Norte	I-Organizacao
,	O
2005	B-Data
-	O
2007	B-Data
,	O
Vice-Presidente	O
da	O
Fundação	B-Organizacao
Rei	I-Organizacao
Afonso	I-Organizacao
Henriques	I-Organizacao
,	O
por	O
3	O
anos	O
,	O
eleito	O
a	O
28	B-Data
de	I-Data
Abril	I-Data
de	I-Data
2006	I-Data
,	O
em	O
Zamora	O
(	O
Espanha	B-Localizacao
)	O
,	O
Chefe	O
de	O
Projeto	O
da	O
Estrutura	B-UnidadeOrganica
de	I-UnidadeOrganica
Missão	I-UnidadeOrganica
do	I-UnidadeOrganica
Douro	I-UnidadeOrganica
,	O
2007	B-Data
-	O
2012	B-UnidadeOrganica
.	O
Foi	O
Docente	O
no	O
Departamento	B-UnidadeOrganica
de	I-UnidadeOrganica
Planeamento	I-UnidadeOrganica
Territorial	I-UnidadeOrganica
da	I-UnidadeOrganica
FEUP	I-UnidadeOrganica
,	O
1987	O
–	O
Porto	O
,	O
no	O
Departamento	B-UnidadeOrganica
de	I-UnidadeOrganica
Ambiente	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
de	I-UnidadeOrganica
Aveiro	I-UnidadeOrganica
e	O
na	O
Faculdade	B-UnidadeOrganica
de	I-UnidadeOrganica
Ciências	I-UnidadeOrganica
Sociais	I-UnidadeOrganica
–	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
Católica	I-UnidadeOrganica
–	I-UnidadeOrganica
Braga	B-Localizacao
.	O
Foi	O
membro	O
da	O
Equipa	O
responsável	O
pela	O
elaboração	O
e	O
execução	O
do	O
Plano	O
de	O
Valorização	O
da	O
Reserva	O
da	O
Biosfera	B-Organizacao
–	I-Organizacao
PNPG	I-Organizacao
(	O
2015	B-Data
-	O
2016	B-Data
)	O
Desde	O
2016	B-Data
,	O
é	O
Vice-Presidente	O
da	O
CCDR-N	O
e	O
Presidente	O
do	O
Conselho	O
de	O
Administração	O
da	O
VIANA	B-Organizacao
POLIS.	I-Organizacao
O	O
Ciclo	O
de	O
Aulas	O
Abertas	O
:	O
'Das	B-Pessoa
Devesas	I-Pessoa
a	O
General	B-Pessoa
Torres	I-Pessoa
|	O
Territórios	O
em	O
transformação	O
urbana	O
'	O
é	O
organizado	O
pelos	O
Docentes	O
das	O
Unidades	O
Curriculares	O
Projecto	O
5	O
e	O
Teoria	O
4	O
(	O
Territórios	O
e	O
Formas	O
Urbanas	O
)	O
do	O
Mestrado	B-Curso
Integrado	I-Curso
em	I-Curso
Arquitectura	I-Curso
(	O
MIArq	O
)	O
,	O
Teresa	B-Pessoa
Calix	I-Pessoa
e	O
Álvaro	B-Pessoa
Domingues	I-Pessoa
,	O
e	O
pelo	O
Grupo	O
de	O
investigação	O
MDT	O
-	O
Morfologias	O
e	O
Dinâmicas	O
do	O
Território	O
do	O
CEAU-FAUP	B-UnidadeOrganica
.	O
+	O
info	O
Ciclo	O
de	O
Aulas	O
Abertas	O
:	O
'Das	B-Pessoa
Devesas	I-Pessoa
a	O
General	B-Pessoa
Torres	I-Pessoa
|	O
Territórios	O
em	O
transformação	O
urbana	O
'	O
Pitch	O
Day	O
2	B-Data
de	I-Data
fevereiro	I-Data
|	O
Auditório	B-Localizacao
CIM	I-Localizacao
No	O
próximo	O
dia	O
2	B-Data
de	I-Data
fevereiro	I-Data
,	O
às	O
14h30	B-Hora
,	O
o	O
UPTEC	O
vai	O
organizar	O
mais	O
um	O
Pitch	O
Day	O
.	O
Desta	O
vez	O
,	O
o	O
evento	O
de	O
apresentação	O
de	O
novas	O
ideias	O
de	O
negócio	O
acontecerá	O
no	O
auditório	B-Localizacao
do	O
Centro	B-Organizacao
de	I-Organizacao
Investigação	I-Organizacao
da	I-Organizacao
Faculdade	B-UnidadeOrganica
de	I-UnidadeOrganica
Medicina	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
.	O
Têxteis	O
que	O
armazenam	O
energia	O
,	O
óculos	O
que	O
registam	O
vídeo	O
em	O
cirurgias	O
e	O
peças	O
de	O
joalharia	O
criadas	O
com	O
técnicas	O
tradicionais	O
são	O
apenas	O
três	O
das	O
ideias	O
de	O
negócio	O
que	O
serão	O
apresentadas	O
no	O
Pitch	O
Day	O
da	O
Escola	B-Organizacao
de	I-Organizacao
Startups	I-Organizacao
do	I-Organizacao
UPTEC	I-Organizacao
.	O
O	O
evento	O
,	O
organizado	O
em	O
parceria	O
com	O
o	O
Vodafone	B-Organizacao
Power	I-Organizacao
Lab	I-Organizacao
,	O
decorrerá	O
no	O
próximo	O
dia	O
2	B-Data
de	I-Data
fevereiro	I-Data
,	O
pelas	O
14h30	B-Hora
,	O
no	O
auditório	B-Localizacao
do	O
Centro	B-Organizacao
de	I-Organizacao
Investigação	I-Organizacao
Médica	I-Organizacao
da	I-Organizacao
Faculdade	B-UnidadeOrganica
de	I-UnidadeOrganica
Medicina	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
.	O
O	O
Pitch	O
Day	O
,	O
evento	O
que	O
será	O
apresentado	O
por	O
Fernando	B-Pessoa
Alvim	I-Pessoa
,	O
marca	O
o	O
fecho	O
da	O
8ª	O
edição	O
da	O
Escola	B-Organizacao
de	I-Organizacao
Startups	I-Organizacao
,	O
programa	O
de	O
mentoring	O
e	O
formação	O
de	O
3	O
meses	O
que	O
acelera	O
ideias	O
de	O
negócio	O
nas	O
áreas	O
tecnológicas	O
,	O
científica	O
e	O
criativa.	O
Ao	O
longo	O
de	O
oito	O
programas	O
,	O
o	O
programa	O
desenvolvido	O
pela	O
UPTEC	B-Organizacao
já	O
apoiou	O
mais	O
de	O
150	O
ideias	O
de	O
negócio	O
e	O
450	O
empreendedores.	B-Pessoa
Durante	I-Pessoa
a	O
iniciativa	O
,	O
os	O
promotores	O
dos	O
17	O
projetos	O
empresariais	O
terão	O
3	O
minutos	O
para	O
apresentar	O
a	O
ideia	O
de	O
negócio	O
e	O
convencer	O
o	O
painel	O
de	O
jurados	O
a	O
votar	O
no	O
seu	O
projeto.	O
Entre	O
as	O
ideais	O
existem	O
projetos	O
de	O
produção	O
e/ou	O
modificação	O
de	O
têxteis	O
que	O
armazenam	O
energia	O
para	O
alimentação	O
de	O
sensores	O
integrados	O
em	O
roupa	O
;	O
uma	O
aplicação	O
de	O
apoio	O
à	O
decisão	O
de	O
investidores	O
em	O
mercados	O
financeiros	O
na	O
área	O
de	O
produtos	O
complexos/derivados	O
;	O
uma	O
comunidade	O
de	O
criativos	O
que	O
integra	O
no	O
mesmo	O
local	O
um	O
cowork	O
,	O
oficinas	O
,	O
laboratório/estúdio	O
de	O
fotografia	O
e	O
uma	O
loja	O
de	O
autores/	O
designers	O
;	O
uma	O
ferramenta	O
para	O
criar	O
um	O
plano	O
do	O
que	O
fazer	O
nas	O
viagens	O
consoante	O
interesses	O
,	O
budget	O
e	O
tempo	O
disponível	O
;	O
uma	O
comunidade	O
online	O
para	O
pessoas	O
que	O
queiram	O
cozinhar	O
para	O
outras	O
;	O
uma	O
produtora	O
que	O
já	O
criou	O
comerciais	O
,	O
videoclips	O
,	O
vídeos	O
corporativos	O
e	O
curta-metragens	O
;	O
uma	O
plataforma	O
de	O
apoio	O
à	O
decisão	O
para	O
diretores	O
de	O
órgãos	O
de	O
comunicação	O
;	O
uma	O
ferramenta	O
para	O
criar	O
especificações	O
funcionais	B-UnidadeOrganica
de	I-UnidadeOrganica
forma	O
fácil	O
,	O
rápida	O
e	O
automática	O
que	O
aprende	O
com	O
cada	O
especificação	O
escrita.	O
O	O
Pitch	O
Day	O
dará	O
palco	O
,	O
também	O
,	O
a	O
ideias	O
de	O
negócio	O
que	O
pretendem	O
criar	O
óculos	O
com	O
capacidade	O
de	O
registar	O
vídeo	O
e	O
áudio	O
em	O
cirurgias	O
;	O
uma	O
plataforma	O
que	O
cria	O
histórias	O
com	O
dados	O
em	O
tempo	O
real	O
para	O
ajustar	O
estratégias	O
de	O
social	O
medi	O
a	O
;	O
um	O
projeto	O
de	O
divulgação	O
e	O
comercialização	O
de	O
produtos	O
homeware	O
e	O
lifestyle	O
,	O
envolvendo	O
designers	O
,	O
artesãos	O
e	O
a	O
indústria	O
;	O
joalharia	O
de	O
autor	O
que	O
combina	O
a	O
formação	O
em	O
arquitetura	O
com	O
técnicas	O
tradicionais	O
de	O
joalharia	O
originando	O
peças	O
únicas	O
;	O
uma	O
plataforma	O
para	O
agilizar	O
a	O
comunicação	O
entre	O
instituições	O
de	O
ensino	O
e	O
encarregados	O
de	O
educação	O
;	O
uma	O
ferramenta	O
online	O
que	O
aproxima	O
os	O
clientes	O
aos	O
profissionais	O
e	O
produtos	O
da	O
construção	O
,	O
num	O
ambiente	O
visual	O
3D	O
e	O
interativo	O
;	O
uma	O
plataforma	O
que	O
conecta	O
organizações	O
com	O
o	O
seu	O
público-alvo	O
para	O
obter	O
feedback	O
de	O
usabilidade	O
de	O
um	O
produto	O
;	O
uma	O
plataforma	O
online	O
de	O
vídeos	O
de	O
treinos	O
de	O
dança	O
,	O
sistema	O
de	O
feedback	O
e	O
incentivos	O
destinada	O
a	O
dançarinos	O
profissionais	O
;	O
uma	O
app	O
com	O
algoritmo	O
que	O
transforma	O
as	O
saídas	O
de	O
amigos	O
em	O
noites	O
inesquecíveis	O
e	O
ajuda	O
os	O
gerentes	O
dos	O
espaços	O
noturnos	O
na	O
gestão	O
dos	O
seus	O
eventos.	O
Os	O
vencedores	O
do	O
Pitch	O
Day	O
terão	O
direito	O
a	O
incubação	O
em	O
regime	O
cowork	O
no	O
UPTEC	B-Localizacao
,	O
com	O
o	O
apoio	O
Vodafone	B-Organizacao
Power	I-Organizacao
Lab	I-Organizacao
,	O
assim	O
como	O
a	O
20	O
horas	O
gratuitas	O
em	O
serviços	O
jurídicos	O
da	O
CCA	B-Organizacao
Ontier	I-Organizacao
.	O
As	O
inscrições	O
no	O
evento	O
devem	O
ser	O
realizadas	O
em	O
:	O
www2.last2ticket.com/pt/events/158	O
2ª	O
Edição	O
do	O
Curso	O
de	O
Gestão	O
de	O
Resíduos	B-Data
de	I-Data
Laboratório	I-Data
.	O
Dia	O
18	B-Data
de	I-Data
março	I-Data
de	I-Data
2017	I-Data
na	O
sala	B-Localizacao
04.P1.E3	I-Localizacao
do	I-Localizacao
Complexo	I-Localizacao
ICBAS	B-UnidadeOrganica
/	O
FFUP	B-UnidadeOrganica
A	O
inscrição	O
e	O
o	O
pagamento	O
são	O
obrigatórios	O
e	O
terão	O
de	O
ser	O
feitos	O
até	O
3	B-Data
dias	O
úteis	O
antes	O
da	O
data	O
de	O
início	O
:	O
https	O
:	O
//goo.gl/forms/sHM5Ran2f8hBgfZp2	O
Estudantes	O
e	O
profissionais	O
da	O
FFUP	B-UnidadeOrganica
-	O
35€	B-UnidadeOrganica
Estudantes	I-UnidadeOrganica
e	O
profissionais	O
externos	O
-	O
50€	B-Organizacao
Provas	O
de	O
Mestrado	B-Curso
em	I-Curso
Ciências	I-Curso
do	I-Curso
Mar	I-Curso
e	I-Curso
Recursos	I-Curso
Marinhos	I-Curso
-	O
Lic.	O
Susana	B-Pessoa
Alexandra	I-Pessoa
Couto	I-Pessoa
de	I-Pessoa
Jesus	I-Pessoa
Lic.	I-Pessoa
Susana	B-Pessoa
Alexandra	I-Pessoa
Couto	I-Pessoa
de	I-Pessoa
Jesus	I-Pessoa
Está	O
marcada	O
para	O
dia	O
19	B-Data
de	I-Data
dezembro	I-Data
de	I-Data
2016	I-Data
,	O
pelas	O
14h30	B-Hora
no	O
anfiteatro	B-Localizacao
3	I-Localizacao
,	O
do	O
Instituto	B-UnidadeOrganica
de	I-UnidadeOrganica
Ciências	I-UnidadeOrganica
Biomédicas	I-UnidadeOrganica
Abel	I-UnidadeOrganica
Salazar	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
,	O
Rua	B-Localizacao
de	I-Localizacao
Jorge	I-Localizacao
Viterbo	I-Localizacao
Ferreira	I-Localizacao
,	I-Localizacao
228	I-Localizacao
-	I-Localizacao
Porto	I-Localizacao
,	O
a	O
prestação	O
de	O
Provas	O
de	O
Mestrado	B-Curso
em	I-Curso
Ciências	I-Curso
do	I-Curso
Mar	I-Curso
e	I-Curso
Recursos	I-Curso
Marinhos	I-Curso
da	O
Licenciada	O
Susana	B-Pessoa
Alexandra	I-Pessoa
Couto	I-Pessoa
de	I-Pessoa
Jesus	I-Pessoa
.	O
13.º	B-Pessoa
SILUSBA	I-Pessoa
:	O
Simpósio	O
de	O
Hidráulica	O
e	O
Recursos	O
Hídricos	O
dos	O
Países	O
de	O
Língua	O
Portuguesa	O
13	B-Data
a	O
15	B-Data
de	I-Data
setembro	I-Data
|	O
FEUP	O
A	O
APRH	O
,	O
a	O
ABRH	O
,	O
a	O
Aquashare	O
e	O
a	O
ACRH	O
,	O
vão	O
organizar	O
o	O
13.º	O
SILUSBA	B-Hora
,	O
que	O
vai	O
ter	O
lugar	O
na	O
Faculdade	B-UnidadeOrganica
de	I-UnidadeOrganica
Engenharia	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
,	O
de	O
13	B-Data
a	O
15	B-Data
de	I-Data
setembro	I-Data
de	I-Data
2017	I-Data
.	O
As	O
submissões	O
de	O
resumos	O
são	O
até	O
ao	O
dia	O
17	B-Data
de	I-Data
março	I-Data
e	O
as	O
inscrições	O
a	O
preço	O
reduzido	O
até	O
30	B-Data
de	I-Data
junho	I-Data
.	O
Para	O
mais	O
informações	O
consultar	O
os	O
links	O
abaixo	O
:	O
Site	O
:	O
http	O
:	O
//www.aprh.pt/13silusba/	O
Submissão	B-UnidadeOrganica
de	I-UnidadeOrganica
resumos	O
:	O
http	O
:	O
//www.aprh.pt/13silusba/resumos.html	O
Inscrição	O
:	O
http	O
:	O
//www.aprh.pt/13silusba/inscricao.html	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
:	O
Divulgue	O
os	O
seus	O
eventos	O
e	O
projetos	O
através	O
do	O
e-mail	O
:	O
noticias	O
@	O
fe.up.pt.	O
Saiba	O
mais	O
sobre	O
os	O
nossos	O
serviços	O
no	O
site	O
dos	O
SICC	O
Recrutamento	B-Hora
|	O
Professor	O
Auxiliar	O
para	O
a	O
área	O
disciplinar	O
de	O
Psicologia	O
candidaturas	O
até	O
10	B-Data
de	I-Data
fevereiro	I-Data
de	I-Data
2017	I-Data
Está	O
aberto	O
processo	O
de	O
recrutamento	O
e	O
seleção	O
de	O
um	O
Professor	O
Auxiliar	O
,	O
em	O
regime	O
de	O
contrato	O
de	O
trabalho	O
privado	O
por	O
tempo	O
indeterminado	O
,	O
ao	O
abrigo	O
do	O
Código	O
do	O
Trabalho	O
,	O
para	O
a	O
área	O
disciplinar	O
de	O
Psicologia	O
da	O
Faculdade	B-UnidadeOrganica
de	I-UnidadeOrganica
Psicologia	I-UnidadeOrganica
e	I-UnidadeOrganica
de	I-UnidadeOrganica
Ciências	I-UnidadeOrganica
da	I-UnidadeOrganica
Educação	I-UnidadeOrganica
da	I-UnidadeOrganica
Universidade	I-UnidadeOrganica
do	I-UnidadeOrganica
Porto	I-UnidadeOrganica
,	O
ao	O
qual	O
podem	O
candidatar-se	O
os	O
indivíduos	O
que	O
reúnam	O
as	O
condições	O
fixadas	O
no	O
aviso	O
disponível	O
no	O
seguinte	O
endereço	O
:	O
https	O
:	O
//sigarra.up.pt/spup/pt/noticias_geral.ver_noticia	O
?	O
p_nr=28404	B-Pessoa
SASUP|Assistente	I-Pessoa
Operacional	I-Pessoa
-	O
Carpintaria|	O
Serviço	O
de	O
Manutenção	O
(	O
CT	O
Termo	O
Certo	O
)	O
Candidaturas	O
até	O
03	B-Data
de	I-Data
fevereiro	I-Data
Nos	O
termos	O
previstos	O
do	O
artigo	O
140º	O
