Quadrinhos	B-ABSTRACCAO_DISCIPLINA
ADN	O
(	O
DNA	B-COISA_SUBSTANCIA
)	O
.	O
Tornou-se	O
então	O
numa	O
lenda	O
do	O
grande	O
patriota	O
português	O
-	O
o	O
``	O
rei	B-PESSOA_INDIVIDUAL
dormente	O
''	O
(	O
ou	O
um	O
Messias	B-PESSOA_INDIVIDUAL
)	O
que	O
iria	O
regressar	O
para	O
ajudar	O
Portugal	B-LOCAL_HUMANO
nas	O
suas	O
horas	B-TEMPO_DURACAO
mais	O
sombrias	O
,	O
uma	O
imagem	O
semelhante	O
à	O
que	O
o	O
Rei	B-PESSOA_CARGO
Artur	B-PESSOA_INDIVIDUAL
tem	O
em	O
Inglaterra	B-LOCAL_HUMANO
ou	O
Frederico	O
Barbarossa	O
na	O
Alemanha	B-LOCAL_HUMANO
.	O
Durante	O
o	O
subsequente	O
domínio	O
espanhol	O
(	O
1580-1640	O
)	O
da	O
coroa	O
portuguesa	O
,	O
três	B-TEMPO_FREQUENCIA
pretendentes	O
afirmaram	O
ser	O
o	O
rei	B-PESSOA_INDIVIDUAL
D.	I-PESSOA_INDIVIDUAL
Sebastião	B-PESSOA_INDIVIDUAL
,	O
tendo	O
o	O
último	O
deles	O
-	O
um	O
italiano	O
-	O
sido	O
enforcado	O
em	O
1619	O
.	O
Mesmo	O
no	B-TEMPO_TEMPO_CALEND
século	I-TEMPO_TEMPO_CALEND
XIX	B-TEMPO_GENERICO
,	O
lavradores	O
Sebastianistas	O
no	O
sertão	O
brasileiro	O
acreditavam	O
que	O
o	O
rei	B-PESSOA_INDIVIDUAL
iria	O
regressar	O
para	O
ajuda-los	O
na	O
luta	O
contra	O
a	O
República	B-LOCAL_HUMANO
ateia	O
Brasileira	O
``	O
(	O
Ver	O
Revolta	B-ACONTECIMENTO_EFEMERIDE
dos	O
Canudos	O
)	O
.	O
Em	B-TEMPO_TEMPO_CALEND
conclusão	O
,	O
a	O
Dinastia	B-PESSOA_GRUPOMEMBRO
de	I-PESSOA_GRUPOMEMBRO
Avis	B-PESSOA_INDIVIDUAL
,	O
popular	O
entre	O
o	O
povo	O
após	O
ter	O
guiado	O
Portugal	B-LOCAL_HUMANO
à	O
sua	O
época	O
de	O
ouro	O
,	O
acabou	O
por	O
submergir	O
na	O
busca	O
de	O
um	O
sonho	O
:	O
a	O
União	B-LOCAL_HUMANO
Peninsular	O
.	O
As	O
mesmas	O
complicações	O
causadas	O
pela	O
procriação	O
consanguínea	O
causou	O
as	O
mortes	O
das	O
crianças	O
de	O
D.	B-PESSOA_INDIVIDUAL
João	I-PESSOA_INDIVIDUAL
III	I-PESSOA_INDIVIDUAL
e	O
Catarina	B-PESSOA_INDIVIDUAL
de	O
Áustria	B-ORGANIZACAO_ADMINISTRACAO
e	B-PESSOA_INDIVIDUAL
a	O
loucura	O
e	B-PESSOA_INDIVIDUAL
desespero	O
dos	O
seus	O
netos	O
(	O
Sebastião	B-PESSOA_INDIVIDUAL
e	I-PESSOA_INDIVIDUAL
Carlos	B-PESSOA_INDIVIDUAL
)	O
,	O
os	O
últimos	O
príncipes	O
de	O
Avis-Habsburgo	O
.	O
``	O
Pequena	O
Notável	O
``	O
ou	O
a	O
``	O
Brazilian	O
Bombshell	O
``	O
Depois	O
de	O
ser	O
exibida	O
no	O
Rio	B-LOCAL_HUMANO
,	O
chega	O
a	O
São	B-PESSOA_INDIVIDUAL
Paulo	B-LOCAL_HUMANO
a	O
mostra	O
Carmen	O
Miranda	O
para	O
sempre	O
,	O
que	O
será	O
inaugurada	O
hoje	B-TEMPO_GENERICO
para	O
convidados	O
e	B-PESSOA_INDIVIDUAL
amanhã	B-TEMPO_TEMPO_CALEND
para	O
o	O
público	O
no	O
Memorial	O
da	O
América	B-LOCAL_HUMANO
Latina	B-OBRA_REPRODUZIDA
.	O
Fotos	O
,	O
roupas	O
(	O
algumas	O
são	O
releituras	O
contemporâneas	O
de	O
seu	O
estilo	O
)	O
,	O
objetos	O
,	O
são	O
mais	O
de	O
700	O
peças	O
reunidas	O
(	O
além	O
de	O
filmes	O
e	B-PESSOA_INDIVIDUAL
músicas	O
)	O
para	O
contar	O
a	O
história	O
da	O
``	O
Pequena	O
Notável	O
``	O
ou	O
a	O
``	O
Brazilian	O
Bombshell	O
``	O
-	O
não	O
há	O
no	O
mundo	O
quem	O
não	O
conheça	O
essa	O
genial	O
estrela	O
que	O
conquistou	O
o	O
Brasil	B-ORGANIZACAO_ADMINISTRACAO
,	O
a	O
Broadway	O
e	B-PESSOA_INDIVIDUAL
Hollywood	B-LOCAL_HUMANO
.	O
A	O
imagem	O
recorrente	O
que	O
vem	O
à	O
cabeça	O
é	O
a	O
da	O
baiana	O
com	O
badulaques	O
na	O
cabeça	O
sempre	O
sorridente	O
-	O
ela	O
se	O
apresentava	O
com	O
nada	O
menos	O
que	O
20	B-VALOR_QUANTIDADE
quilos	O
sobre	O
o	O
corpo	O
,	O
entre	O
roupas	O
e	B-PESSOA_INDIVIDUAL
acessórios	O
,	O
e	O
uma	O
plataforma	O
de	O
15	B-VALOR_QUANTIDADE
cm	O
de	O
altura.	O
Carmen	O
Miranda	O
(	O
1909-1955	O
)	O
``	O
nasceu	O
personagem	O
,	O
era	O
uma	O
artista	O
''	O
,	O
como	O
diz	O
o	O
jornalista	O
e	B-PESSOA_INDIVIDUAL
escritor	O
Ruy	O
Castro	B-PESSOA_INDIVIDUAL
,	O
que	O
há	O
pouco	O
lançou	O
uma	O
biografia	O
sobre	O
a	O
estrela.	O
Apesar	O
do	O
enorme	O
sucesso	O
conquistado	O
a	B-TEMPO_TEMPO_CALEND
partir	I-TEMPO_TEMPO_CALEND
do	I-TEMPO_TEMPO_CALEND
fim	I-TEMPO_TEMPO_CALEND
da	O
década	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1930	I-TEMPO_TEMPO_CALEND
nos	O
EUA	B-LOCAL_HUMANO
,	O
para	O
Ruy	O
Castro	B-PESSOA_INDIVIDUAL
a	O
fase	O
da	O
artista	O
no	O
Brasil	B-LOCAL_HUMANO
é	O
a	O
que	O
precisa	O
ser	O
``	O
urgentemente	O
conhecida	O
pelo	O
público	O
brasileiro	O
''	O
.	O
Ele	O
,	O
que	O
fez	O
consultoria	O
dos	O
textos	O
presentes	O
na	O
mostra	O
,	O
vai	O
realizar	O
uma	O
palestra	O
gratuita	O
na	O
sexta-feira	B-TEMPO_TEMPO_CALEND
,	O
,	O
às	B-TEMPO_FREQUENCIA
19h30	O
,	O
sobre	O
a	O
vida	O
e	O
a	O
obra	O
da	O
artista	O
na	O
Biblioteca	B-LOCAL_HUMANO
Victor	O
Civita	O
,	O
no	O
Memorial	O
.	O
Carmen	O
Miranda	O
para	O
sempre	O
é	O
um	O
projeto	O
que	O
vem	O
sendo	O
realizado	O
há	O
mais	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
dois	B-TEMPO_DURACAO
anos	I-TEMPO_DURACAO
.	O
Com	O
curadoria	O
de	O
Fabiano	O
Canosa	O
,	O
a	O
mostra	O
feita	O
com	O
peças	O
da	O
própria	O
coleção	O
de	O
Canosa	O
,	O
do	O
Museu	B-ORGANIZACAO_INSTITUICAO
Carmen	O
Miranda	O
(	O
inaugurado	O
em	O
1976	O
)	O
e	O
da	O
família	O
da	O
artista	O
,	O
tem	O
percurso	O
cronológico	O
e	B-PESSOA_INDIVIDUAL
está	O
dividida	O
em	O
núcleos.	O
Inicia	O
com	O
o	O
nascimento	O
em	O
Portugal	B-LOCAL_HUMANO
e	O
inclui	O
imagens	O
de	O
sua	O
família.	O
Depois	O
,	O
vem	O
a	O
fase	O
brasileira	O
,	O
``	O
quando	O
ela	O
era	O
a	O
rainha	B-PESSOA_INDIVIDUAL
do	O
disco	O
,	O
do	O
rádio	O
,	O
do	O
cineteatro	O
e	B-PESSOA_INDIVIDUAL
fez	O
filmes	O
que	O
estão	O
quase	O
todos	O
destruídos	O
,	O
uma	O
tragédia	O
''	O
.	O
Um	O
dos	O
únicos	O
que	O
restaram	O
é	O
Alô	O
,	O
Alô	O
Carnaval	B-ACONTECIMENTO_ORGANIZADO
,	O
de	O
1936	B-TEMPO_TEMPO_CALEND
,	O
que	O
Carmen	O
fez	O
ao	O
lado	O
de	O
sua	O
irmã	O
Aurora	O
,	O
morta	O
em	B-TEMPO_TEMPO_CALEND
dezembro	I-TEMPO_TEMPO_CALEND
-	O
como	O
conta	O
o	O
curador.	O
Não	O
era	O
ainda	O
a	O
Carmen	O
Miranda	O
dos	O
badulaques.	O
Era	O
uma	O
``	O
mulher	O
art	O
déco	O
dos	O
anos	O
30	B-VALOR_MOEDA
``	O
,	O
como	O
diz	O
Canosa	O
,	O
que	O
usava	O
calças	O
,	O
ternos	O
e	B-PESSOA_INDIVIDUAL
vestidos	O
belos	O
-	O
em	O
particular	O
,	O
há	O
uma	O
sala	O
especial	O
com	O
retratos	O
da	O
artista	O
feitos	O
em	O
1931	O
,	O
em	O
Buenos	O
Aires	O
,	O
pela	O
alemã	O
Annemarie	O
Heinrich	O
.	O
E	O
foi	O
durante	O
uma	O
de	O
suas	O
apresentações	O
no	O
Cassino	O
da	O
Urca	O
,	O
no	O
Rio	B-LOCAL_HUMANO
,	O
em	B-TEMPO_TEMPO_CALEND
1939	I-TEMPO_TEMPO_CALEND
,	O
que	O
o	O
produtor	O
americano	O
Lee	B-OBRA_REPRODUZIDA
Shubert	O
viu	O
Carmen	O
e	B-PESSOA_INDIVIDUAL
se	O
encantou.	O
Levou-a	O
para	O
a	O
Broadway	O
e	B-PESSOA_INDIVIDUAL
o	O
sucesso	O
foi	O
inevitável.	O
Ela	O
,	O
com	O
o	O
Bando	O
da	O
Lua	B-COISA_OBJECTO
,	O
ficou	O
consagrada	O
já	O
no	B-TEMPO_TEMPO_CALEND
início	I-TEMPO_TEMPO_CALEND
com	O
o	O
espetáculo	O
The	B-OBRA_REPRODUZIDA
Streets	O
of	B-PESSOA_GRUPOMEMBRO
Paris	B-LOCAL_HUMANO
.	O
Daí	O
em	O
diante	O
,	O
tornou-se	O
uma	O
das	O
maiores	O
celebridades	O
que	O
o	O
mundo	O
já	O
conheceu.	O
Serviço	B-ORGANIZACAO_INSTITUICAO
Carmen	O
Miranda	O
para	O
sempre	O
.	O
Galeria	B-LOCAL_HUMANO
Marta	O
Traba	O
.	O
Memorial	O
da	O
América	B-LOCAL_HUMANO
Latina	B-OBRA_REPRODUZIDA
.	O
Av	O
.	O
Auro	O
Soares	O
de	O
Moura	O
Andrade	O
,	O
664	O
,	O
3823-4741.	O
9h/18h	O
(	O
fecha	O
2.ª	O
)	O
.	O
Grátis.	O
Até	B-OBRA_REPRODUZIDA
16/4	O
.	O
Abertura	O
hoje	B-TEMPO_GENERICO
,	O
19h30	O
,	O
para	O
convidados.	O
Diariamente	O
,	O
às	B-TEMPO_FREQUENCIA
10h30	O
e	B-PESSOA_INDIVIDUAL
às	B-TEMPO_FREQUENCIA
15h	O
,	O
exibição	O
do	O
documentário	O
Bananas	O
Is	O
My	B-OBRA_REPRODUZIDA
Business	O
contra-revoluções	O
musicais	O
Talvez	O
que	O
,	O
tendo	O
a	O
música	O
uma	O
componente	O
tão	O
física	O
não	O
seja	O
apetecível	O
o	O
aleatório	O
,	O
o	O
algorítmico.	O
É	O
mais	O
do	O
que	O
tropeçar	O
,	O
caír	O
,	O
espalhar	O
o	O
corpo	O
em	O
mil	O
bocados.	O
''	O
Se	O
a	O
música	O
comtemporânea	O
pôde	O
ser	O
considerada	O
incompreensível	O
quanto	O
ao	O
seu	O
código	O
de	O
leitura	O
,	O
hoje	B-TEMPO_TEMPO_CALEND
já	O
não	O
é	O
a	O
música	O
que	O
se	O
tornou	O
incompreensível	O
mas	O
sim	O
o	O
público	O
.	O
''	O
Metzger	O
,	O
Heins-Klaus.cit.	O
,	O
p.2	O
Afinal	O
não	O
somos	O
todos	O
o	O
mesmo	O
público	O
?	O
posted	O
by	O
DGP	O
@	O
4:29	O
AM	O
2	B-VALOR_CLASSIFICACAO
Comments	O
:	O
At	O
1:55	O
PM	O
,	O
César	B-PESSOA_INDIVIDUAL
Viana	B-LOCAL_HUMANO
said	O
...	O
Será	O
que	O
hoje	B-TEMPO_TEMPO_CALEND
ainda	O
podemos	O
falar	O
de	O
``	B-TEMPO_GENERICO
a	O
''	O
música	O
contemporânea	O
?	O
Há	O
uma	O
diversidade	O
de	O
manifestações	O
que	O
se	O
movem	O
nesta	O
área	O
,	O
desde	O
as	O
mais	O
exigentes	O
às	B-TEMPO_FREQUENCIA
mais	O
oportunisticamente	O
simplistas	O
,	O
todas	O
sobre	O
essa	O
mesma	O
capa	O
de	O
``	B-TEMPO_GENERICO
música	O
contemporânea	O
''	O
.	O
At	O
2:20	O
AM	O
,	O
DGP	O
said	O
...	O
Claro	B-ABSTRACCAO_IDEIA
que	O
sim	O
!	O
Nem	O
sei	O
bem	O
em	O
que	O
contexto	O
escrevi	O
este	O
post.	O
Estava	O
a	O
reler	O
um	O
livro	O
-	O
Revoluções	O
Musicais	O
,	O
a	O
música	O
contemporânea	O
depois	B-TEMPO_TEMPO_CALEND
de	O
1945	O
Pareceu-me	O
infeliz	O
a	O
frase	O
de	O
Heinz-Klaus	O
(	O
``	O
já	O
não	O
é	O
a	O
música	O
que	O
se	O
tornou	O
incompreensível	O
mas	O
sim	O
o	O
público	O
)	O
No	B-TEMPO_TEMPO_CALEND
fundo	O
aquilo	O
de	O
que	O
discordo	O
é	O
o	O
facto	O
de	O
neste	O
caso	O
o	O
criador	O
estar	O
de	O
fora	O
do	O
grupo	O
colectivo.	O
É	O
claro	O
que	O
é	O
mais	O
apetecível	O
e	B-PESSOA_INDIVIDUAL
mais	O
fácil	O
,	O
mas	O
depois	B-TEMPO_TEMPO_CALEND
falta-lhe	O
amor.	O
(	O
Como	O
tão	O
bem	O
defeniu	O
no	O
post	O
em	O
que	O
falava	O
de	O
Alvaro	O
Cunhal	B-PESSOA_INDIVIDUAL
)	O
De	O
qualquer	O
maneira	O
e	B-PESSOA_INDIVIDUAL
infelizmente	O
,	O
não	O
conheço	O
música	O
feita	O
nos	O
últimos	O
anos	O
.	O
Educação	B-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
Este	O
espaço	O
se	O
destina	O
a	O
divulgar	O
os	O
principais	O
Programas	O
,	O
Projetos	O
e	B-PESSOA_INDIVIDUAL
Ações	O
desenvolvidos	O
pela	O
Coordenação-Geral	O
de	O
Educação	B-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
que	O
tem	O
como	O
eixos	O
centrais	O
:	O
Fortalecimento	O
da	O
Política	B-OBRA_PLANO
Nacional	I-OBRA_PLANO
de	B-ORGANIZACAO_INSTITUICAO
Educação	I-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
-	O
Lei	B-OBRA_PLANO
9795/99	O
;	O
Formação	O
Continuada	O
na	O
Educação	B-ORGANIZACAO_INSTITUICAO
Básica	O
;	O
Fomento	O
a	O
projetos	O
de	O
Educação	B-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
;	O
Educação	B-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
no	O
Ensino	B-ABSTRACCAO_DISCIPLINA
Superior	I-ABSTRACCAO_DISCIPLINA
.Estas	O
ações	O
,	O
em	O
sua	O
maior	O
parte	O
,	O
estão	O
em	O
consonância	O
com	O
as	O
ações	O
procedidas	O
no	O
âmbito	O
da	O
Diretoria	B-PESSOA_GRUPOIND
de	O
Educação	B-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
-	O
DEA	O
,	O
do	O
Ministério	B-ORGANIZACAO_ADMINISTRACAO
do	O
Meio	O
Ambiente	O
;	O
guardadas	O
suas	O
competências	O
e	B-PESSOA_INDIVIDUAL
atribuições	O
específicas.	O
Enraizamento	O
da	O
Educação	B-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
no	O
Brasil	B-LOCAL_HUMANO
Ações	O
do	O
Órgão	O
Gestor	O
desenvolvidas	O
junto	O
às	B-TEMPO_FREQUENCIA
Unidades	O
da	O
Federação	B-ORGANIZACAO_INSTITUICAO
,	O
a	O
fim	O
de	O
articular	O
e	B-PESSOA_INDIVIDUAL
fortalecer	O
entidades	O
,	O
instituições	O
e	B-PESSOA_INDIVIDUAL
colegiados	O
que	O
trabalham	O
com	O
Educação	B-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
,	O
incentivando	O
a	O
organicidade	O
entre	O
as	O
ações	O
,	O
projetos	O
e	B-PESSOA_INDIVIDUAL
programas.	O
Mapeamento	O
da	O
EA	O
no	O
Ensino	B-ABSTRACCAO_DISCIPLINA
Superior	I-ABSTRACCAO_DISCIPLINA
Contribuir	O
para	O
a	O
ampliação	O
do	O
debate	O
a	O
respeito	O
da	O
Educação	B-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
(	O
EA	O
)	O
em	O
instituições	O
de	O
educação	O
superior	O
(	O
IES	O
)	O
brasileiras	O
,	O
com	O
vistas	O
à	O
reflexão	O
sobre	O
políticas	O
públicas	O
educacionais	O
que	O
considerem	O
a	O
dimensão	O
ambiental	O
na	O
formação	O
dos	O
profissionais	O
de	O
nível	O
superior	O
das	O
diferentes	O
áreas	O
do	O
conhecimento.	O
Ver	O
síntese	O
da	O
pesquisa.	O
O	O
que	O
fazem	O
as	O
escolas	O
que	O
dizem	O
que	O
fazem	O
EA	O
Quais	O
são	O
os	O
caminhos	O
utilizados	O
pelas	O
escolas	O
em	O
Educação	B-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
?	O
Para	O
responder	O
a	O
essa	O
pergunta	O
,	O
uma	O
parceria	O
entre	O
a	O
Secretaria	B-ORGANIZACAO_ADMINISTRACAO
de	I-ORGANIZACAO_ADMINISTRACAO
Educação	B-ORGANIZACAO_INSTITUICAO
Continuada	O
,	O
Alfabetização	O
e	B-PESSOA_INDIVIDUAL
Diversidade	O
-	O
SECAD/MEC	O
,	O
o	O
INEP	O
e	B-PESSOA_INDIVIDUAL
a	O
Associação	B-ORGANIZACAO_INSTITUICAO
Nacional	I-ORGANIZACAO_INSTITUICAO
de	I-ORGANIZACAO_INSTITUICAO
Pesquisa	O
em	O
Educação	B-ORGANIZACAO_INSTITUICAO
-	O
ANPED	O
possibilitou	O
a	O
elaboração	O
de	O
uma	O
pesquisa	O
para	O
aprofundar	O
os	O
dados	O
obtidos	O
no	O
Censo	O
Escolar	O
(	O
2001-2004	O
)	O
e	O
conhecer	O
melhor	O
como	O
estas	O
alternativas	O
são	O
processadas	O
e	B-PESSOA_INDIVIDUAL
significadas	O
nos	O
diferentes	O
contextos	O
escolares	O
,	O
possibilitando	O
uma	O
compreensão	O
qualitativa	O
dos	O
caminhos	O
de	O
inserção	O
da	O
Educação	B-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
no	O
ensino	O
fundamental.	O
Educação	B-ORGANIZACAO_INSTITUICAO
de	O
Chico	B-PESSOA_INDIVIDUAL
Mendes	B-PESSOA_INDIVIDUAL
Programa	B-OBRA_PLANO
de	I-OBRA_PLANO
fomento	O
a	O
projetos	O
de	O
educação	O
ambiental	O
no	O
ensino	O
básico	O
O	O
Programa	B-OBRA_PLANO
Educação	B-ORGANIZACAO_INSTITUICAO
de	O
Chico	B-PESSOA_INDIVIDUAL
Mendes	I-PESSOA_INDIVIDUAL
surgiu	O
para	O
dar	O
continuidade	O
à	O
construção	O
permanente	O
da	O
educação	O
ambiental	O
e	B-PESSOA_INDIVIDUAL
à	O
promoção	O
de	O
um	O
círculo	O
virtuoso	O
na	O
busca	O
do	O
conhecimento	O
,	O
pesquisa	O
e	O
geração	O
de	O
saber	O
e	B-PESSOA_INDIVIDUAL
ações	O
transformadoras	O
a	B-TEMPO_TEMPO_CALEND
partir	I-TEMPO_TEMPO_CALEND
das	O
escolas	O
e	O
das	O
comunidades	O
locais.	O
[	O
...	O
]	O
-	O
Formação	O
continuada	O
de	O
professores	O
em	O
Educação	B-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
A	O
Resolução	O
nº	O
13	B-TEMPO_TEMPO_CALEND
do	O
FNDE	O
dá	O
continuidade	O
do	O
Programa	B-OBRA_PLANO
Vamos	O
Cuidar	O
do	O
Brasil	O
com	O
as	O
Escolas	O
,	O
estabelecendo	O
normas	O
para	O
o	O
apoio	O
financeiro	O
a	O
projetos	O
de	O
formação	O
de	O
professores	O
em	O
Educação	B-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
.	O
Tais	O
projetos	O
de	O
formação	O
envolverão	O
professores	O
do	O
segundo	O
ciclo	O
do	O
ensino	O
fundamental	O
(	O
5a	O
a	O
8a	O
séries	O
)	O
,	O
de	O
escolas	O
públicas	O
que	O
participaram	O
do	O
processo	O
da	O
II	B-ACONTECIMENTO_ORGANIZADO
Conferência	O
Nacional	B-ORGANIZACAO_INSTITUICAO
Infanto-Juvenil	O
pelo	O
Meio	O
Ambiente	O
;	O
e	O
à	O
elaboração	O
,	O
aquisição	O
,	O
reimpressão	O
ou	O
reprodução	O
do	O
material	O
didático	O
empregado	O
na	O
formação.	O
O	O
objetivo	O
desta	O
ação	O
,	O
é	O
estimular	O
,	O
em	O
professores	O
,	O
alunos	O
e	B-PESSOA_INDIVIDUAL
gestores	O
de	O
educação	O
,	O
a	O
leitura	O
crítica	O
da	O
realidade	O
a	B-TEMPO_TEMPO_CALEND
partir	I-TEMPO_TEMPO_CALEND
da	O
diversidade	O
e	B-PESSOA_INDIVIDUAL
do	O
meio	O
ambiente	O
e	B-PESSOA_INDIVIDUAL
a	O
participação	O
no	O
processo	O
de	O
construção	O
de	O
conhecimentos	O
,	O
pesquisa	O
e	O
intervenção	O
cidadã	O
com	O
base	O
em	O
valores	O
voltados	O
à	O
sustentabilidade	O
da	O
vida	O
em	O
suas	O
múltiplas	O
dimensões.	O
Os	O
projetos	O
de	O
formação	O
devem	O
aprimorar	O
a	O
qualidade	O
da	O
abordagem	O
da	O
educação	O
ambiental	O
que	O
,	O
segundo	O
Censo	O
do	O
INEP	O
,	O
encontra	O
presente	O
em	O
94,5	O
%	B-VALOR_QUANTIDADE
d	O
as	O
escolas	O
do	O
ensino	O
fundamental	O
do	O
Brasil	B-LOCAL_HUMANO
.	O
Portfolio	O
do	O
Órgão	O
Gestor	O
da	O
Política	B-OBRA_PLANO
Nacional	I-OBRA_PLANO
de	B-ORGANIZACAO_INSTITUICAO
Educação	I-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
Reúne	O
um	O
resumo	O
de	O
todos	O
os	O
programas	O
,	O
projetos	O
e	B-PESSOA_INDIVIDUAL
ações	O
do	O
Órgão	O
Gestor	O
da	O
Política	B-OBRA_PLANO
Nacional	I-OBRA_PLANO
de	B-ORGANIZACAO_INSTITUICAO
Educação	I-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
.	O
Programa	B-OBRA_PLANO
Juventude	O
e	B-PESSOA_INDIVIDUAL
Meio	O
Ambiente	O
Este	O
Programa	B-OBRA_PLANO
se	O
propõe	O
a	O
incentivar	O
e	B-PESSOA_INDIVIDUAL
a	O
aprofundar	O
o	O
debate	O
socioambiental	O
com	O
foco	O
em	O
políticas	O
públicas	O
,	O
deflagrando	O
um	O
processo	O
de	O
formação	O
de	O
jovens	O
e	O
de	O
fortalecimento	O
dos	O
Coletivos	O
Jovens	O
de	O
Meio	O
Ambiente	O
existentes	O
em	O
todo	O
o	O
país.	O
A	O
proposta	O
dos	O
Coletivos	O
Jovens	O
vem	O
sendo	O
construída	O
e	B-PESSOA_INDIVIDUAL
implementada	O
desde	O
2003	B-TEMPO_TEMPO_CALEND
,	O
a	B-TEMPO_TEMPO_CALEND
partir	I-TEMPO_TEMPO_CALEND
da	O
realização	O
da	O
I	B-ACONTECIMENTO_EFEMERIDE
Conferência	O
Nacional	B-ORGANIZACAO_INSTITUICAO
Infanto-Juvenil	O
pelo	O
Meio	O
Ambiente	O
.	O
(	O
*acesse	O
a	O
proposta	O
de	O
identidade	O
visual	O
dos	O
Coletivos	O
Jovens	O
para	O
compreender	O
melhor	O
esses	O
grupos*	O
)	O
O	O
Manual	B-OBRA_REPRODUZIDA
Orientador	O
para	O
Coletivos	O
Jovens	O
de	O
Meio	O
Ambiente	O
é	O
uma	O
das	O
publicações	O
do	O
Programa	B-OBRA_PLANO
,	O
e	O
tem	O
como	O
objetivo	O
contribuir	O
para	O
o	O
fortalecimento	O
dos	O
Coletivos	O
Jovens	O
(	O
CJs	O
)	O
já	O
existentes	O
e	B-PESSOA_INDIVIDUAL
estimular	O
a	O
formação	O
de	O
novos	O
Coletivos	O
Jovens	O
em	O
municípios.A	O
principal	O
linha	O
de	O
ação	O
do	O
Programa	B-OBRA_PLANO
é	O
a	O
formação	O
de	O
jovens	O
na	O
área	O
socioambiental	O
,	O
em	O
cinco	O
temas	O
principais	O
:	O
Educação	B-ORGANIZACAO_INSTITUICAO
Ambiental	B-OBRA_REPRODUZIDA
;	O
Fortalecimento	O
Organizacional	O
;	O
Educomunicação	O
;	O
Empreendedorismo	O
;	O
e	O
Participação	O
Política	B-OBRA_PLANO
.	O
Trata-se	O
de	O
um	O
processo	O
de	O
formação	O
presencial	O
e	B-PESSOA_INDIVIDUAL
a	O
distância	O
,	O
e	O
que	O
envolverá	O
jovens	O
de	O
todos	O
os	O
estados	O
brasileiros.	O
Orientações	O
Curriculares	O
Ensino	B-ABSTRACCAO_DISCIPLINA
Médio	O
A	O
Secretaria	B-ORGANIZACAO_ADMINISTRACAO
de	I-ORGANIZACAO_ADMINISTRACAO
Educação	B-ORGANIZACAO_INSTITUICAO
Continuada	O
,	O
Alfabetização	O
e	B-PESSOA_INDIVIDUAL
Diversidade	O
(	O
SECAD	O
)	O
foi	O
convidada	O
pelo	O
departamento	O
de	O
Ensino	B-ABSTRACCAO_DISCIPLINA
Médio	O
da	O
Secretaria	B-ORGANIZACAO_ADMINISTRACAO
de	I-ORGANIZACAO_ADMINISTRACAO
Educação	B-ORGANIZACAO_INSTITUICAO
Básica	O
(	O
SEB	O
)	O
a	O
participar	O
do	O
processo	O
de	O
reelaboração	O
dos	O
Parâmetros	O
Curriculares	O
Nacionais	B-PESSOA_GRUPOMEMBRO
do	O
Ensino	B-ABSTRACCAO_DISCIPLINA
Médio	O
,	O
no	O
intuito	O
de	O
produzir	O
textos	O
que	O
contemplassem	O
a	O
perspectiva	O
da	O
diversidade.Nesse	O
sentido	O
,	O
a	O
SECAD	O
fez	O
uma	O
oficina	O
com	O
a	O
participação	O
de	O
suas	O
coordenações-gerais	O
onde	O
foi	O
trabalhada	O
a	O
questão	O
da	O
diversidade	O
no	O
currículo	O
como	O
forma	O
de	O
orientar	O
as	O
atividades	O
pedagógicas	O
,	O
ou	O
seja	O
,	O
definir	O
qual	O
a	O
concepção	O
de	O
currículo	O
e	B-PESSOA_INDIVIDUAL
diversidade	O
que	O
se	O
quer	O
trabalhar	O
,	O
quais	O
os	O
objetivos	O
e	B-PESSOA_INDIVIDUAL
qual	O
a	O
melhor	O
maneira	O
de	O
inserir	O
as	O
diferentes	O
temáticas	O
nas	O
áreas	O
e	B-PESSOA_INDIVIDUAL
disciplinas	O
do	O
ensino	O
médio.	O
Cada	O
coordenação	O
produziu	O
um	O
texto	O
procurando	O
articular	O
as	O
várias	B-TEMPO_FREQUENCIA
temáticas	O
,	O
