Ministério	B-ACONTECIMENTO
leste	O
do	O
Paraguai	B-LOCAL
e	O
está	O
associado	O
a	O
Didelpbideos	B-ORGANIZACAO
,	O
motivo	O
pelo	O
qual	O
os	O
índices	O
de	O
infecção	O
para	O
T.	O
cruzi	O
são	O
elevados	O
.	O
Invadem	O
ocasionalmente	O
domicílios	O
e	O
peridomicílios	O
onde	O
se	O
colonizam	O
com	O
facilidade	O
.	O
P.	O
geniculatus	O
,	O
espécie	O
silvestre	O
que	O
também	O
invade	O
ocasionalmente	O
ecótopos	O
artificiais	O
e	O
tem	O
ampla	O
distribuição	O
geográfica	O
,	O
esta	O
associada	O
a	O
animais	O
com	O
hábitos	O
terrestres	O
-LRB-	O
buracos	O
-RRB-	O
,	O
como	O
é	O
o	O
caso	O
dos	O
tatus	O
.	O
Pode-se	O
citar	O
ainda	O
o	O
P.	O
diasi	O
com	O
distribuição	O
na	O
Bolívia	B-LOCAL
e	O
Brasil	B-LOCAL
nos	O
estados	O
de	O
Goiás	B-LOCAL
,	O
Minas	B-PESSOA
Gerais	I-PESSOA
,	O
São	B-PESSOA
Paulo	I-PESSOA
e	O
Bahia	B-LOCAL
,	O
ocorrendo	O
neste	O
último	O
estado	O
na	O
região	O
da	O
caatinga	O
.	O
P	O
lutzi	O
no	O
nordeste	O
brasileiro	O
e	O
P.	O
tupynambai	O
no	O
Rio	B-LOCAL
Grande	I-LOCAL
do	I-LOCAL
Sul	I-LOCAL
e	O
Uruguai	B-PESSOA
são	O
espécies	O
que	O
nos	O
últimos	O
anos	O
têm	O
sido	O
encontradas	O
com	O
freqüência	O
nas	O
habitações	O
humanas	O
.	O
T.	O
sordida	O
geralmente	O
é	O
encontrada	O
em	O
ecótopos	O
silvestres	O
e	O
no	O
peridomicílio	O
,	O
invade	O
com	O
freqüência	O
o	O
domicílio	O
,	O
mas	O
é	O
considerada	O
espécie	O
secundária	O
.	O
Tem	O
distribuição	O
no	O
Brasil	B-LOCAL
Central	I-LOCAL
-LRB-	O
cerrado	O
-RRB-	O
,	O
partes	O
do	O
Paraguai	B-LOCAL
.	O
noroeste	O
da	O
Argentina	B-LOCAL
,	O
Uruguai	B-PESSOA
e	O
Bolívia	B-PESSOA
.	O
Tem	O
sido	O
encontrada	O
com	O
baixa	O
taxa	O
de	O
infecção	O
natural	O
,	O
a	O
qual	O
está	O
associada	O
a	O
roedores	O
.	O
T.	O
dimidiata	O
freqüenta	O
o	O
domicílio	O
e	O
é	O
encontrada	O
em	O
diversas	O
tocas	O
silvestres	O
,	O
tais	O
como	O
rocas	O
,	O
grutas	O
ocupadas	O
por	O
morcegos	O
e	O
ocos	O
de	O
arvores	O
,	O
sendo	O
um	O
importante	O
vetor	O
da	O
América	B-ORGANIZACAO
Central	I-ORGANIZACAO
,	O
México	B-LOCAL
,	O
Colômbia	B-PESSOA
,	O
Equador	B-PESSOA
e	O
norte	O
do	O
Peru	B-PESSOA
.	O
Outro	O
gênero	O
que	O
pertence	O
a	O
este	O
grupo	O
,	O
cujos	O
adultos	O
invadem	O
ecótopos	O
artificiais	O
,	O
são	O
algumas	O
espécies	O
de	O
Rhodnius	B-PESSOA
,	O
principalmente	O
R.	O
domesticus	O
,	O
que	O
é	O
encontrado	O
na	O
região	O
litorânea	O
do	O
Brasil	B-LOCAL
,	O
R.	O
pictipes	O
nas	O
regiões	O
norte	O
e	O
centro-oeste	O
do	O
Brasil	B-LOCAL
e	O
o	O
R.	B-PESSOA
brethesi	I-PESSOA
,	O
com	O
distribuição	O
no	O
norte	O
do	O
Brasil	B-LOCAL
e	O
Venezuela	B-LOCAL
,	O
tem	O
hábitos	O
silvestres	O
e	O
habita	O
palmeiras	O
de	O
piaçaba	O
-LRB-	O
Leopoldinia	B-LOCAL
piassaba	O
-RRB-	O
,	O
ataca	O
o	O
homem	O
com	O
avidez	O
e	O
,	O
nos	B-TEMPO
últimos	I-TEMPO
anos	I-TEMPO
,	O
tem	O
invadido	O
com	O
freqüência	O
ecótopos	O
artificiais	O
.	O
R.	O
prolixus	O
é	O
a	O
espécie	O
vetora	O
mais	O
importante	O
da	O
Colômbia	B-ORGANIZACAO
e	O
Venezuela	B-LOCAL
,	O
onde	O
tem	O
hábito	O
doméstico	O
,	O
sendo	O
responsável	O
pela	O
transmissão	O
natural	O
da	O
Doença	B-ORGANIZACAO
de	I-ORGANIZACAO
Chagas	I-ORGANIZACAO
.	O
Também	O
é	O
importante	O
em	O
algumas	O
partes	O
da	O
América	B-ORGANIZACAO
Central	I-ORGANIZACAO
,	O
particularmente	O
em	O
El	B-LOCAL
Salvador	I-LOCAL
,	O
Guatemala	B-LOCAL
e	O
Honduras	B-PESSOA
.	O
No	O
ambiente	O
domiciliar	O
,	O
R.	O
prolixus	O
alimenta-se	O
principalmente	O
de	O
sangue	O
humano	O
e	O
de	O
aves	O
,	O
embora	O
utilize	O
também	O
,	O
como	O
fonte	O
alimentar	O
,	O
cães	O
e	O
gatos	O
.	O
No	O
ambiente	O
silvestre	O
,	O
faz	O
uso	O
de	O
marsupiais	O
e	O
roedores	O
como	O
fonte	O
de	O
alimento	O
.	O
R.	O
pallescens	O
é	O
importante	O
vetora	O
no	O
Panamá	B-LOCAL
,	O
invade	O
casas	O
com	O
freqüência	O
formando	O
colônias	O
e	O
é	O
encontrada	O
também	O
no	O
peridomicílio	O
e	O
em	O
ambientes	O
silvestres	O
em	O
palmeiras	O
.	O
As	O
populações	O
domésticas	O
na	O
área	O
central	O
do	O
Panamá	B-LOCAL
têm	O
como	O
fonte	O
alimentar	O
o	O
homem	O
-LRB-	O
59	B-VALOR
%	I-VALOR
-RRB-	O
,	O
seguido	O
por	O
marsupiais	O
e	O
aves	O
domésticas	O
.	O
No	O
Velho	B-LOCAL
Mundo	I-LOCAL
,	O
são	O
13	O
as	O
espécies	O
descritas	O
,	O
necessitando	O
de	O
esclarecimentos	O
epidemiológicos	O
.	O
Não	O
se	O
encontrou	O
nenhuma	O
infectada	O
pelo	O
T.	O
cruzi	O
.	O
A	O
espécie	O
mais	O
conhecida	O
dentre	O
estas	O
é	O
Triatoma	O
rubrofasciata	O
,	O
que	O
é	O
cosmopolita	O
e	O
encontrada	O
em	O
regiões	O
portuárias	O
.	O
Terá	O
ainda	O
que	O
se	O
esperar	O
para	O
ver	O
outros	O
resultados	O
do	O
Plano	B-PESSOA
Tecnológico	I-PESSOA
,	O
mas	O
este	O
perdeu	O
dinâmica	O
no	B-TEMPO
último	I-TEMPO
ano	I-TEMPO
.	O
6	O
.	O
Quanto	O
às	O
``	O
Novas	B-ABSTRACCAO
Oportunidades	I-ABSTRACCAO
''	O
foram	O
no	O
seu	O
início	O
um	O
sucesso	O
naquilo	O
que	O
era	O
mais	O
difícil	O
:	O
revalorizar	O
o	O
papel	O
do	O
ensino	O
,	O
da	O
educação	O
,	O
da	O
aprendizagem	O
,	O
do	O
saber	O
,	O
em	O
sectores	O
da	O
população	O
que	O
na	O
sua	O
vida	O
tinham	O
voltado	O
as	O
costas	O
a	O
esses	O
valores	O
,	O
ou	O
por	O
necessidade	O
,	O
ou	O
por	O
facilidade	O
.	O
Porém	O
o	O
programa	O
entra	O
agora	O
numa	O
fase	O
crucial	O
:	O
após	O
os	O
momentos	O
de	O
arranque	O
incial	O
,	O
é	O
suposto	O
que	O
se	O
começe	O
agora	O
a	O
aprender	O
e	O
a	O
ser	O
avaliado	O
.	O
Esta	O
é	O
a	O
parte	O
difícil	O
,	O
mas	O
a	O
que	O
justifica	O
o	O
projecto	O
.	O
E	O
aqui	O
as	O
intenções	O
iniciais	O
começam	O
a	O
esmorecer	O
,	O
os	O
atrasos	O
a	O
somarem-se	O
,	O
a	O
perplexidade	O
dos	O
formadores	O
a	O
aumentar	O
e	O
o	O
anúncio	O
regular	O
pelo	O
governo	O
da	O
outorga	O
de	O
mais	O
uns	O
milhares	O
de	O
diplomas	O
faz	O
suspeitar	O
de	O
facilitismo	O
.	O
Vamos	O
ver	O
.	O
7	O
.	O
No	O
PSD	B-ORGANIZACAO
deu-se	O
mais	O
um	O
passo	O
para	O
a	O
irrelevância	O
,	O
ou	O
ainda	O
pior	O
,	O
para	O
tornar	O
o	O
partido	O
um	O
mero	O
gestor	O
alternativo	O
das	O
políticas	O
do	O
PS	B-ORGANIZACAO
.	O
Ora	O
,	O
para	O
fazer	O
a	O
mesma	O
política	O
,	O
os	O
eleitores	O
preferem	O
o	O
PS	O
como	O
mais	O
eficaz	O
e	O
mais	O
credível	O
.	O
Com	O
Marques	B-PESSOA
Mendes	I-PESSOA
,	O
o	O
PSD	B-ORGANIZACAO
esboçou	O
um	O
ruptura	O
com	O
o	O
período	O
negro	O
anterior	O
,	O
mas	O
como	O
quando	O
se	O
fazem	O
``	O
revoluções	O
pela	O
metade	O
cava-se	O
o	O
seu	O
próprio	O
túmulo	O
''	O
-LRB-	O
dizia	O
Saint	B-PESSOA
Just	I-PESSOA
-RRB-	O
,	O
perdeu-se	O
o	O
pouco	O
que	O
se	O
tinha	O
adquirido	O
voltando	O
o	O
partido	O
ao	B-TEMPO
dia	I-TEMPO
anterior	I-TEMPO
da	I-TEMPO
derrota	I-TEMPO
de	I-TEMPO
2005	I-TEMPO
.	O
Mendes	O
não	O
conseguiu	O
impor-se	O
,	O
mas	O
os	O
seus	O
esforços	O
foram	O
no	O
sentido	O
certo	O
.	O
Menezes	B-PESSOA
também	O
não	O
está	O
a	O
conseguir	O
impor-se	O
,	O
mas	O
todos	O
os	O
seus	O
esforços	O
vão	O
no	O
sentido	O
errado	O
.	O
O	O
governo	O
está	O
verdadeiramente	O
à	O
solta	O
,	O
a	O
oposição	O
numa	O
crise	O
maior	O
do	O
que	O
alguma	O
vez	O
esteve	O
desde	B-TEMPO
2005	I-TEMPO
.	O
8	O
.	O
O	O
PP	O
já	O
atingiu	O
o	O
equilibrio	O
dos	O
pequenos	O
partidos	O
,	O
que	O
atingem	O
uma	O
``	O
stasis	O
''	O
interna	O
onde	O
que	O
tudo	O
o	O
que	O
acontece	O
,	O
não	O
acontece	O
.	O
E	O
no	O
entanto	O
,	O
a	O
retirada	O
do	O
PSD	B-ORGANIZACAO
da	O
oposição	O
poderia	O
ser	O
uma	O
oportunidade	O
e	O
o	O
PP	B-ORGANIZACAO
tem	O
aproveitado	O
os	O
vazios	O
para	O
ocupar	O
o	O
terreno	O
de	O
algumas	O
questões	O
importantes	O
como	O
a	O
dos	O
direitos	O
dos	O
contribuintes	O
e	O
a	O
omnipotência	O
do	O
fisco	O
.	O
Mas	O
não	O
chega	O
.	O
Portas	O
reduziu	O
o	O
partido	O
a	O
si	O
próprio	O
,	O
e	O
dar	O
atenção	O
ao	O
PP	B-ORGANIZACAO
é	O
dar	O
atenção	O
a	O
Portas	B-ABSTRACCAO
e	O
cada	O
vez	O
menos	O
pessoas	O
o	O
fazem	O
.	O
9	O
.	O
O	O
PCP	B-ORGANIZACAO
teve	O
um	O
bom	O
ano	O
,	O
o	O
problema	O
do	O
PCP	B-ORGANIZACAO
é	O
que	O
ninguém	O
dá	O
por	O
ela	O
disso	O
.	O
O	O
PCP	B-ORGANIZACAO
é	O
o	O
único	O
partido	O
cuja	O
força	O
é	O
``	O
civil	O
''	O
,	O
mesmo	O
que	O
se	O
tenha	O
em	O
conta	O
o	O
processo	O
de	O
estatização	O
dos	O
sindicatos	O
,	O
maior	O
na	O
UGT	B-ORGANIZACAO
do	O
que	O
na	O
CGTP	B-ORGANIZACAO
.	O
Conseguiu	O
com	O
autonomia	O
uma	O
capacidade	O
de	O
mobilização	O
que	O
já	O
tinha	O
perdido	O
e	O
pôs	O
na	O
rua	O
muitas	O
dezenas	O
,	O
senão	O
centenas	O
de	O
milhares	O
de	O
pessoas	O
.	O
O	O
problema	O
do	O
PCP	B-ORGANIZACAO
é	O
que	O
passou	O
de	O
moda	O
mediática	O
,	O
a	O
sua	O
contestação	O
parece	O
um	O
arcaísmo	O
social	O
e	O
por	O
isso	O
parece	O
ser	O
inútil	O
.	O
10	O
.	O
O	O
BE	O
está	O
em	O
crise	O
.	O
Deixou-se	O
enredar	O
com	O
o	O
PS	B-ORGANIZACAO
em	O
Lisboa	B-LOCAL
,	O
o	O
pior	O
sítio	O
para	O
alguém	O
se	O
enredar	O
com	O
o	O
PS	B-ABSTRACCAO
.	O
Deixou-se	O
reduzir	O
a	O
Louçã	B-ORGANIZACAO
e	O
Louçã	B-PESSOA
fixou-se	O
num	O
discurso	O
cujo	O
esgotamento	O
irrita	O
mais	O
do	O
que	O
cansa	O
.	O
Para	O
a	O
contestação	O
social	O
o	O
PCP	B-ORGANIZACAO
é	O
mais	O
eficaz	O
,	O
e	O
as	O
causas	O
``	O
fracturantes	O
''	O
são	O
na	O
maioria	O
dos	O
casos	O
ou	O
inócuas	O
,	O
ou	O
tão	O
vanguardistas	O
que	O
ficam	O
na	O
marginalidade	O
e	O
no	O
radical	O
chic	O
.	O
História	O
do	O
RFID	O
A	O
tecnologia	O
de	O
RFID	O
tem	O
suas	O
raízes	O
nos	O
sistemas	O
de	O
radares	O
utilizados	O
na	O
Segunda	B-ACONTECIMENTO
Guerra	I-ACONTECIMENTO
Mundial	I-ACONTECIMENTO
.	O
Os	O
alemães	O
,	O
japoneses	O
,	O
americanos	O
e	O
ingleses	O
utilizavam	O
radares	O
--	O
que	O
foram	O
descobertos	O
em	B-TEMPO
1937	I-TEMPO
por	O
Sir	B-PESSOA
Robert	I-PESSOA
Alexander	I-PESSOA
Watson-Watt	I-PESSOA
,	O
um	O
físico	O
escocês	O
--	O
para	O
avisá-los	O
com	O
antecedência	O
de	O
aviões	O
enquanto	O
eles	O
ainda	O
estavam	O
bem	O
distantes	O
.	O
O	O
problema	O
era	O
identificar	O
dentre	O
esses	O
aviões	O
qual	O
era	O
inimigo	O
e	O
qual	O
era	O
aliado	O
.	O
Os	O
alemães	O
então	O
descobriram	O
que	O
se	O
os	O
seus	O
pilotos	O
girassem	O
seus	O
aviões	O
quando	O
estivessem	O
retornando	O
à	O
base	O
iriam	O
modificar	O
o	O
sinal	O
de	O
rádio	O
que	O
seria	O
refletido	O
de	O
volta	O
ao	O
radar	O
.	O
Esse	O
método	O
simples	O
alertava	O
os	O
técnicos	O
responsáveis	O
pelo	O
radar	O
que	O
se	O
tratava	O
de	O
aviões	O
alemães	O
-LRB-	O
esse	O
foi	O
,	O
essencialmente	O
,	O
considerado	O
o	O
primeiro	O
sistema	O
passivo	O
de	O
RFID	B-COISA
-RRB-	O
.	O
Sob	O
o	O
comando	O
de	O
Watson-Watt	B-PESSOA
,	O
que	O
liderou	O
um	O
projeto	O
secreto	O
,	O
os	O
ingleses	O
desenvolveram	O
o	O
primeiro	O
identificador	O
activo	O
de	O
amigo	O
ou	O
inimigo	O
-LRB-	O
IFF	B-ORGANIZACAO
--	O
Identify	B-PESSOA
Friend	I-PESSOA
or	I-PESSOA
Foe	I-PESSOA
-RRB-	O
.	O
Foi	O
colocado	O
um	O
transmissor	O
em	O
cada	O
avião	O
britânico	O
.	O
Quando	O
esses	O
transmissores	O
recebiam	O
sinais	O
das	O
estações	O
de	O
radar	O
no	O
solo	O
,	O
começavam	O
a	O
transmitir	O
um	O
sinal	O
de	O
resposta	O
,	O
que	O
identificava	O
o	O
aeroplano	O
como	O
Friendly	B-PESSOA
-LRB-	O
amigo	O
-RRB-	O
.	O
Os	O
RFID	O
funcionam	O
no	O
mesmo	O
princípio	O
básico	O
.	O
Um	O
sinal	O
é	O
enviado	O
a	O
um	O
transponder	O
,	O
o	O
qual	O
é	O
ativado	O
e	O
reflete	O
de	O
volta	O
o	O
sinal	O
-LRB-	O
sistema	O
passivo	O
-RRB-	O
ou	O
transmite	O
seu	O
próprio	O
sinal	O
-LRB-	O
sistemas	O
ativos	O
-RRB-	O
.	O
Avanços	O
na	O
área	O
de	O
radares	O
e	O
de	O
comunicação	O
RF	O
-LRB-	O
Radio	B-PESSOA
Frequency	I-PESSOA
-RRB-	O
continuaram	O
através	O
das	O
décadas	B-VALOR
de	I-VALOR
50	I-VALOR
e	I-VALOR
60	I-VALOR
.	O
Cientistas	O
e	O
acadêmicos	O
dos	O
Estados	B-ORGANIZACAO
Unidos	I-ORGANIZACAO
,	O
Europa	B-LOCAL
e	O
Japão	B-PESSOA
realizaram	O
pesquisas	O
e	O
apresentaram	O
estudos	O
explicando	O
como	O
a	O
energia	O
RF	O
poderia	O
ser	O
utilizada	O
para	O
identificar	O
objetos	O
remotamente	O
...	O
Companhias	O
começaram	O
a	O
comercializar	O
sistemas	O
antifurto	O
que	O
utilizavam	O
ondas	O
de	O
rádio	O
para	O
determinar	O
se	O
um	O
item	O
havia	O
sido	O
roubado	O
ou	O
pago	O
normalmente	O
.	O
Era	O
o	O
advento	O
das	O
tags	O
-LRB-	O
etiquetas	O
-RRB-	O
denominadas	O
de	O
``	O
etiquetas	O
de	O
vigilância	O
eletrônica	O
''	O
as	O
quais	O
ainda	O
são	O
utilizadas	O
até	B-TEMPO
hoje	I-TEMPO
.	O
Cada	O
etiqueta	O
utiliza	O
um	O
bit	O
.	O
Se	O
a	O
pessoa	O
paga	O
pela	O
mercadoria	O
,	O
o	O
bit	O
é	O
posto	O
em	O
off	O
ou	O
0	O
.	O
E	O
os	O
sensores	O
não	O
dispararão	O
o	O
alarme	O
.	O
Caso	O
o	O
contrário	O
,	O
o	O
bit	O
continua	O
em	O
on	O
ou	O
1	O
,	O
e	O
caso	O
a	O
mercadoria	O
saia	O
através	O
dos	O
sensores	O
,	O
um	O
alarme	O
será	O
disparado	O
.	O
